os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop,output
0,0,0,0,0.999999,0,1e-06,0,0,0,0,0,0,0,0,0,"pxp"
1,1,1,1,53.5105864438448,4.48421945448432,15.3333747171969,12.7489402307112,8.40540549987526,1.51741686921295,5,1,3.00000002704676,1.99999970942085,8.00005694958043,1.00000009862653,"alpha"
