os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop,output
0,0,0,0,0.999999,0,1e-06,0,0,0,0,0,0,0,0,0,"pxp"
1,1,1.00000000000008,1,52.3045122020214,3.10582321559346,15.9142600677969,12.9364501199768,8.93891542341728,2.7991614205272,5,1,3.00000002704676,1.99999969830868,8.00087772668501,1.00000009862653,"alpha"
