id,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
1,1159.6951648375314,1527.218367492403,1086.7073668884318,1351.4670693186886,1001.8108420694695,993.0314765971375,991.7393114951224,991.1728834907864,1199.3357298840845,995.8456438126304,1154.1099942249534,997.0220112510634,987.0773094387564,984.8197572856404,1139.3761657524544,995.9005724642684
2,1074.0826752149585,1539.7766247950615,1071.4681425095885,1348.1088719692996,1103.4940109542165,1171.5471898800365,1112.3505250936976,1097.1511541956716,1109.7608431015135,1173.7053006061135,1117.4993278474544,1168.7400379922203,1032.8534787795875,1020.8102337943513,1132.6978148476094,1035.5788078775015
3,1189.0762705543007,1500.748201876284,1191.0684266934625,1448.7978045149014,1153.5862624562749,1134.7718481159388,1126.5108788068417,1125.1505852120058,1264.7967276205597,1147.4132454965336,1231.720670437999,1149.4340479265968,1139.6248066763858,1137.4263556478777,1255.9269945376977,1146.5698162023277
4,1331.0061798002805,1553.2942746412834,1333.0266734486715,1410.3541103202401,1346.0449746575548,1322.5065868155568,1308.2739392173137,1317.6866188838176,1352.6001696657377,1320.4438529203335,1334.0862640045668,1316.9615666465268,1312.2173605368596,1301.3588969654115,1316.8891470967856,1312.6870869316176
5,1198.4851831323963,1379.1873119770491,1186.0937409282842,1436.615261048349,1149.0395375906535,1092.3556008159835,1101.8380793434842,1097.971521983592,1222.5932721946663,1100.2235724234622,1178.2880838059855,1107.1077474275755,1093.6153520206822,1088.3398206037461,1171.4957581399801,1105.0867790053062
7,1226.196410542952,1473.155466563436,1187.0410121693103,1405.4673865457062,1095.587707164151,1068.0297930631189,1083.0262116876502,1069.6003153513761,1185.4469577921361,1076.203420651464,1155.985424126701,1084.991714658469,1079.6752702798722,1079.027400649156,1187.2229675251422,1083.1257369748562
8,1067.2768830511966,1522.294889496628,1057.537928383397,1301.0567518139967,1005.5216697166056,1014.0459679031296,1004.0954576320618,1003.5239101904957,1175.2601940136317,1006.8677080572558,1175.3579303386316,993.5462837010716,971.0725108321718,970.6428427490897,1158.1115103611178,1001.6813555439138
9,1194.4084931313155,1563.2502575850071,1192.433248311444,1238.3246403608111,1189.440631216973,1142.621449451203,1154.6574317537336,1153.8614322449555,1200.1656239271995,1154.8564882555495,1153.846461101261,1156.9049472850231,1140.5199887987435,1118.5776229081175,1164.2365515292756,1154.8765115539636
10,1128.2846762600984,1497.3017173476514,1100.19820427184,1410.4866949741752,1177.25041475176,1045.11939336865,1040.5111199269465,1040.5110502243385,1261.4941326426185,1043.0964481104527,1209.67734247377,1045.1193973609502,1002.5312237440065,1001.5139331218685,1135.6727740271826,1043.0964474197106
11,993.5562781816526,1623.9502781878964,926.6356815478293,1146.538637137274,1025.4161520470566,988.4997291650707,966.234239405752,966.0059540516639,1057.5700256024481,986.4763729492239,1057.7886038656127,988.4997355373567,960.5379828423479,955.02448794612,1055.006731735178,986.4763732796099
12,881.3977381381408,1310.6897465898992,791.7305501984725,1265.242419211724,791.7154936725038,677.0906059438017,674.7233102767816,675.6654347887556,1014.1037909467897,676.2564968612477,908.0218116608338,664.3307523407118,658.3805115687317,641.7829734404096,890.9972705013037,656.8251562823157
13,1092.2264257805866,1525.9200931368832,1090.131632550298,1376.331293937813,1090.0734516353627,1032.0158701989988,1032.880607235616,1032.879395249706,1259.838867666314,1032.879452160176,1267.8470402598487,1026.4480325847887,1004.0085006610861,993.7498060133642,1196.0097983141459,1027.2732917389721
14,1018.773237004993,1599.1126702699203,995.0842094089361,1291.47134953308,968.2766772222972,975.0678412016211,956.8747820423473,954.8622273197034,1124.5508165389174,976.4395426523373,1179.175366770421,973.4001398326071,965.4216624426973,942.5498569108634,1150.7392950442975,976.4395679005653
15,1115.6987883730958,1530.1141302921792,1090.7912690923717,1365.4433298925128,1090.734859493579,1114.158997601435,1101.055953979426,1092.153674607788,1173.69081599641,1112.153010574204,1242.9358294131011,1114.1766964369951,1058.461798482906,1053.629661294484,1241.0563316504781,1097.889665393834
16,1305.391044829977,1568.5841455786558,1285.9576638082888,1437.9961325428421,1274.2400500685003,1168.9127712874783,1166.7028619101627,1166.7028376345368,1323.2000675990528,1174.5949094928708,1214.9929878658463,1179.3702085220743,1172.3772614492707,1171.5035570313828,1242.0448135861727,1174.6446462259546
17,1197.3586181515543,1386.3296054184416,1153.1798884296297,1376.0640153775078,1061.4737880149157,1080.2720736129156,1064.4205456980117,1061.9654385433516,1188.7688050863896,1078.4021974131117,1152.5411306659198,1063.9087750622457,1076.2622747377497,1055.8636972510158,1179.5972613982417,1065.4195190906037
18,1094.6617325629477,1470.5987263290613,1094.2041124039179,1329.7225168582636,1102.9960538728462,1087.6845267452902,1103.0594414149255,1102.4309070338575,1217.2685496709635,1102.0764217624596,1164.1457979767863,1078.4656926841383,1032.1122797569215,1027.7501796886156,1166.6117085061455,1087.9392282542856
19,984.0593317578495,1554.2250419308327,969.2410440389259,1034.413511108694,993.2292944357879,908.5005728587279,881.3441240754092,881.3412749153013,1000.5669170308572,906.6851074104832,1000.2329870715679,908.7320226571338,905.1139353955632,889.7246150630192,997.6434205900512,903.6825095138312
20,1150.9055569521113,1642.3338025578325,1123.3968063016175,1311.475146494754,1086.5441741145326,1017.6397204933264,1013.0890343820541,1012.6353585748961,1189.8516551369942,1020.3044173202682,1217.0940136336505,1023.3590949410104,1014.1051703473422,1014.0118380268902,1210.0649578187101,1022.1362168639502
21,1086.6318025114126,1516.471170116256,1047.37248740769,1337.519594096567,975.6133916794903,980.2211811076643,936.4719811404622,976.4213551146221,1195.0972220476342,980.3641450121361,1144.7293199194064,944.1195066664683,913.0955692481322,907.6735786827801,1121.9724776442363,936.0435280841821
22,869.2497158026779,936.4872463493472,871.2710750360857,1380.333646924829,865.4244308636767,854.7993865959346,835.191268378626,836.69528843825606,867.8878014190241,870.505145117478,848.9888932856046,884.7669485489406,876.39122670345,849.861949207604,902.252520095096,883.7732519739
23,1123.4511726718824,1310.8279191830582,1125.4717238425014,1410.326085086413,1138.2031242040864,1125.7486219537784,1118.3120647443625,1105.5548118447484,1157.3227661674184,1131.5565187897805,1100.5598139016045,1139.0182088451384,1107.7561252610665,1107.7554371375345,1124.5559790069985,1131.3107741546125
24,1087.7469437269276,1399.039058201453,1027.8228190806988,1267.7672633189995,998.2729474961806,972.3763260255066,965.969878825406,965.969785882614,1123.3311263906062,973.7668632042321,1089.2470008065668,975.7852243421986,961.5572497482441,957.611732313332,1049.5034536948663,973.737329234714
25,1247.249862650211,1573.5421022591102,1242.4629630280785,1366.9792006907521,1249.8124280240916,1242.4864361935436,1242.8766637018264,1236.2188130468082,1281.9177252198463,1246.4691137697184,1258.8867477997856,1246.0379970253096,1237.1976301937684,1233.6966432146803,1264.8332274389784,1243.5457212469382
26,809.5539059207424,1323.4601220096174,787.8656838900583,873.048871638691,793.7476265811373,800.7984734982953,784.6739063713887,792.5090921991487,798.9336488767727,798.8071453460346,810.8977632005992,792.2270503027413,762.9608542626847,753.6380261240787,814.1136798052906,746.9345971856047
27,1124.002343018372,1428.9053008407739,1115.4114200479783,1243.2061124383404,1127.9237496771368,1112.372094583709,1071.429407922412,1070.9284450279222,1152.454993301518,1112.8973677915142,1140.353841164895,1103.1922925263889,1111.267812618614,1098.456727725198,1147.11237870023,1112.8973645604442
28,1007.7978754487231,1188.5952007893193,1000.2908372430576,1123.342227963953,967.237627468988,900.419528468968,929.9248095767431,913.3117502846292,979.0572619615132,914.2877667544891,888.849735547648,933.45085194366,885.4921509287451,877.1696655103332,916.4972131648651,931.4061429348671
29,963.7580275641594,1530.350374080297,943.5587019894683,1094.4051453691968,912.2669184596228,893.8670555848408,912.0014114725551,890.6385919808811,1002.4917203963591,891.6077236254971,988.8591601293489,917.6021513918708,874.2255031795311,871.232244305135,991.7108710240011,914.5408248812652
30,1014.3970330648705,1641.8784445272959,962.4941013056015,1159.9231663940716,976.6272326016328,933.4627803864909,931.6955784837473,931.5754111020453,1061.7418168166114,935.4489538332693,1041.047448532409,930.7498901271808,912.4090789715134,906.1162273130094,1054.8049295196336,927.5088433022473
31,1061.7023648030938,1308.1498856404846,1029.7035391376885,1249.0874599791225,971.9219051348858,935.4443184170099,940.0504710201482,940.0504710142342,1124.1187310519801,940.0221786897741,994.9804976431019,942.0699191880319,940.0504710172121,937.4140187901721,1021.0879778256722,940.0368521315062
32,1060.6180977988565,1458.3105643530182,997.327100991324,1164.7175523669414,951.8018252284201,928.7815677679761,925.8469963895633,912.9435959172632,1003.3584879797053,934.3210590566333,1007.3067336885201,944.541355184048,937.0604242755032,934.7179322182952,1009.2318693974953,942.5083814865653
33,1081.7669912157896,1508.8973341066417,988.9755633786473,1307.1240970220022,920.244889461728,929.979424735024,933.8580945396403,923.3312547987723,1095.7539204476523,924.6018424335203,1063.7763779108898,947.439712759576,895.5289056604644,918.6464719808004,1054.9623720135703,940.1251909177784
34,829.6138068133614,1004.0770126510031,827.2068119697268,1252.6697655271842,793.8900725195837,755.4343409950357,756.8680589103716,748.3318765925935,856.3962248420196,779.8903100585635,762.0369237808156,781.9252399418597,764.0853588025735,760.7374882293935,826.8558280552276,779.8903846235476
35,1017.0251148892604,1452.9400262052131,965.655482534842,1256.34305372919,978.1309161362124,994.0203006028344,978.1413264145687,976.4086241412147,1111.2088217395108,1006.9641599091026,1108.1935006318583,1004.2119652546903,954.2247624094186,955.3811957165167,1102.0387665178127,1008.2136315027446
36,777.8477855592388,1146.2980081456894,759.2084621696789,1134.330309669664,754.1682910361807,750.8825994003487,748.8653072381793,748.8653072279673,934.3991323064092,748.8653075379573,895.9820535433447,746.7890116020546,740.3988526773812,738.6292977821273,900.5924590005193,744.7354292277693
37,690.4805814323078,985.4070990829565,644.5641514278119,1064.9528055631954,557.614659481839,598.834352200387,575.77165159968,571.411295287892,620.490189539952,600.805890765084,641.604321701501,607.707088401815,605.6882001728541,605.688200172424,639.9942541066,605.68821818737
38,1169.1056382584409,1609.7479680512376,1170.102612170934,1328.929384913441,1190.2502602609184,1140.4062103611782,1134.3638867950822,1132.1939388708083,1240.2877587683763,1144.1610718430322,1248.9423084245302,1131.3758870005404,1140.6692599384082,1119.2294714345244,1223.1232130882183,1140.3418658867363
39,1050.470435606608,1191.7741462071647,1052.4884322269847,1428.609384753287,1023.3913018370446,951.0845237510646,973.7850771129959,960.3276998035659,1030.713699952194,962.2666384137839,965.5435573803205,978.7698453917826,962.7471846887339,962.1003804672318,1008.2353315243519,976.7452453378698
40,1091.0344274723502,1411.2637134941042,1037.030299149112,1227.8251845524205,985.1787634701959,958.752546511456,989.8901764417302,988.3964014677482,1024.38294065388,999.3581360095181,999.77897149635,1001.0872396540959,978.4448732094222,975.3803412264042,1009.5536848421742,999.4815539249681
41,1031.6452364375623,1186.3182092094987,1033.6692013993877,1320.1169866038927,1027.763141849945,993.2838515549449,993.1762982161239,996.4966901976198,1057.2027994101759,1006.5374989295078,1007.1490223273889,995.2436347276829,987.6817215968618,983.9909727887278,1029.994439770192,993.6650170269999
43,1220.2434942774644,1543.5533538913103,1222.2591429947388,1447.581005386141,1249.245033671667,1191.873616759699,1187.5053212088553,1188.5135893870013,1288.1810661369473,1195.2247027739854,1293.706932844621,1194.252572118057,1169.8959964860853,1161.7516247360854,1280.6645006043375,1182.2925101951155
45,1033.0997680413927,1660.1024090289948,968.5269958035075,1130.2608697392961,940.849997951895,886.508266125225,884.9772665662193,884.4095083576893,937.8182603381814,885.3115671608374,1036.4998596246032,887.315058041529,857.4888120918913,882.7303521034434,1032.9486990590253,843.0571187414813
46,982.2845990074284,1334.2431545342947,935.7843232282122,1278.524888286973,952.8910595705732,944.9284980752532,913.8680299352133,913.8680299913932,1036.8549932628534,944.3827841984612,1007.5596844981992,953.9054851547552,909.2004892199652,905.9813000726532,1015.9913191980712,939.4925757388593
47,753.8549175649138,1083.801320499698,748.7832357868488,1002.9122807752273,810.1399442951991,752.0460528109312,726.9760720667131,724.1110540016371,818.395458835543,752.611050054399,767.3339264592491,761.6300328296711,725.785979996209,727.035617009415,769.255513289391,755.748736129977
48,906.4069051560303,1444.4199894058067,905.1941606244753,1143.9853077106536,964.1578384225794,934.2109625023754,910.3505634717258,897.9141441620877,1012.7660195462778,954.7423641078137,975.5810790449215,959.4096038686594,902.2103559513257,901.6805779537377,986.7065308947357,957.3811254542318
49,1021.3731399993138,1393.8851415513275,1012.9196152636999,1271.622153663773,1022.5585766407228,986.4320090725748,974.5072858592686,973.6696273210285,1120.7437991241384,996.9676029192226,1107.1581529739628,998.8348437690348,986.4002301260666,982.5005244236966,1083.4223991741105,995.2092211617786
50,979.9442931863924,1426.919757652745,953.8662396345281,1042.2888895442834,892.051570222339,894.4404122418771,893.3281720375271,884.5220913795431,928.7335122579871,892.068125117329,927.283691970803,904.752531856397,902.792131069463,902.7918563720231,925.5109099861411,901.686189914879
51,885.4931971562014,1061.8386198557057,876.5442354911851,1196.628819171332,710.8535395498524,720.6611606900383,702.0663007715549,696.948956325251,779.6794773622709,718.7142836536229,695.4402879594403,733.9471200640423,712.5643078656749,712.5534912138869,753.3217821151189,731.9131297750909
52,775.1665374620869,1362.7996930149006,766.0359103515431,936.484020811652,822.3278784382866,794.4185352129366,782.2017106211714,775.8187415436934,851.1138115673874,798.0030213831274,843.4217422947146,804.3882605426265,767.0938346751394,762.7049161721234,858.2034251022314,802.0046142735814
53,978.3928690090728,1327.6369495419656,958.4673908325168,1248.8067828709434,940.7749745216345,964.6378425375984,942.4693237382824,942.4408814358943,1103.7919037312804,964.5053904757823,1078.2612736451224,945.9749410099045,919.5147354731423,912.9331495392503,1065.1930848623465,947.1245652276403
54,1241.9111139512524,1599.6835635900939,1224.2315122970297,1411.9925847150553,1241.5849437196246,1259.2816251911245,1242.5863709621822,1242.4072057409662,1297.801660958996,1260.7178827032883,1307.2423245376685,1261.3737122057705,1225.4102740183123,1222.1818713547102,1308.1706452530202,1241.1072988714923
55,944.8398511153479,1250.8650031982272,855.4076241512101,1134.7290782881848,805.8332077188217,776.2266740981917,782.212034282814,777.457617456942,944.042082580826,779.0384916391121,902.1302848355897,779.4731059073437,775.9638174636141,776.5274448866201,897.9670353975561,787.5666585904801
56,943.5954777661123,1043.601079403896,932.1721007392608,1189.8734548530626,865.9201885402741,889.7210257436901,859.9850710154416,868.3091472549476,909.8706009112295,910.6980384612095,912.9119749702982,920.6780447386321,902.6223852239335,912.0037725404916,927.2878470533036,918.2725541724395
58,818.8413761444494,1422.114410730623,819.0489225002497,1150.7971324207808,806.8356019991236,788.8129202828895,779.104746199663,779.1047407157371,985.6206369736431,788.5411999371651,1014.1397730491776,790.4219276143195,752.6826332941371,737.5702628755711,1020.763967936537,787.2024453681331
60,1175.2341728845454,1438.4130489822408,1026.278602342281,1359.4636826680678,864.3941385894752,872.1142354248232,885.8151492153245,874.7013684296564,1026.4881694107146,863.5049877355864,986.8942324352453,945.9680062218592,893.9085663620184,921.7067186744924,962.5168112532565,940.7437979916924
61,662.4192631090797,1148.6670693746728,664.3593036105576,1160.6522288463182,645.8193818763453,644.1052259150533,625.5072366480769,620.2508649624349,949.8058989225249,642.0900663002628,901.7890221148493,639.1021995506213,638.3268650313588,635.0774034771869,854.6455186129389,636.5112240797329
62,1162.4130456116545,1594.1963962085856,1160.4529210462465,1329.7416520151376,1153.3967163455784,1111.5202360873084,1120.2135420940895,1118.8472272395375,1229.7728061324055,1120.2135430511134,1225.2037080982184,1122.2353682312664,1114.5425572012534,1109.2728288406636,1225.8303652099014,1117.9365727080694
63,1139.481344311333,1515.604553806289,1132.7972172521231,1351.7560227326253,1153.3404470620417,1086.6206179038536,1103.4555459485775,1099.3381732821636,1230.7643361339137,1102.5830967707116,1196.7148668843256,1105.4758472006897,1072.8942463356116,1071.2836724892816,1190.2585457138716,1100.7497267891156
64,939.1684841418797,1429.7802954751887,937.0122150449752,1217.5880610016782,990.6684929497654,901.1937552724834,901.9001079666548,900.4146894529028,1071.909783747183,905.8658075478188,1016.3208116188455,911.3223972158735,863.7259610579429,857.5140005854809,1025.1169102675087,909.2935601040529
65,1140.530432420886,1494.5775567083876,1142.5489198784394,1352.4004325338085,1182.6986224816467,1109.9990145625627,1094.955758216864,1089.3022139946281,1215.710858549452,1118.0775772701102,1159.1016964840908,1121.9229623646747,1114.8737889467661,1114.5514033378022,1167.3459622319242,1119.897687248412
67,1314.5009853059207,1506.6833195751021,1271.369148043958,1520.432084699714,1201.2308997532762,1194.4879849476001,1194.3926683790153,1194.0314367707992,1341.6899758274253,1193.6817846281174,1279.8563679645843,1184.5484163177682,1199.8126796126774,1185.9385047142293,1259.7742302536553,1196.0754614507473
68,1113.147222688859,1653.9856200442593,1074.9557373983753,1287.3207229467014,1034.2130100765496,980.1298235988556,976.4231821288654,976.4231274550774,1142.1705491612115,978.1066648867634,1171.3870793931117,980.1298443485216,955.6019758848614,949.8168548266934,1167.6782722876494,973.3632510538635
69,1181.761216206022,1507.6109165318296,1122.6174523071923,1364.0647604752598,973.140828733575,974.652757933071,969.8566561685595,970.2010616204095,1160.5762051646336,976.7284652931995,1139.608263545287,976.5690577367229,974.7225641423795,969.1901299496735,1136.9978418627015,977.7296602281175
70,813.2257094251361,1204.111122807574,715.1968577726554,1134.1792597219373,669.642027327934,653.5010807735221,649.4660744562002,649.4660113119222,885.4162760860202,650.6193491661262,857.318625427226,643.141803972336,641.2165732634062,635.6300344910362,829.9002841385242,646.2869715995682
71,1139.872069628176,1528.7016548685888,1132.2549602795116,1355.602809031961,1140.5377078002928,1106.811910504209,1102.193612181797,1101.061395607827,1237.893792713733,1106.020683723955,1207.071268774449,1108.925794388003,1092.879086276821,1092.900742348909,1224.412960251687,1102.751424453423
72,1161.6875593719683,1507.0900238242964,1163.5934438253141,1273.7818515505453,1147.787472565952,1097.9048157783197,1125.9429555097438,1125.9392744233498,1152.6050022437778,1129.5226278799698,1127.3582195204558,1123.0140669137998,1108.945788445888,1100.8371919623319,1134.823126327196,1129.522634067794
73,1017.576197837213,1555.1659921206453,994.7603334859347,1249.8524978726814,943.6702043537746,865.8238593763245,875.2489339177249,873.558767266955,1050.770750328503,882.673974193297,1115.0208146164287,884.6944956537226,872.5128154149229,872.512743827043,1097.322416462773,882.4564194059909
74,1186.3548121605934,1609.4333707944613,1188.3706282195265,1386.4021925146433,1221.5770292410023,1169.5752362174844,1175.9996098073336,1161.4042325034736,1271.1474049279236,1180.8689018245716,1232.5678454480144,1183.0806035718763,1160.7820802451276,1158.7205022731275,1235.0629703660875,1181.0589905350516
75,1162.5038826599123,1592.2923681747127,1152.7236439237206,1313.8697405880305,1124.0986308518543,1076.6409310760564,1073.6950425156922,1072.9088396983761,1212.247069764576,1075.9549951794802,1174.6370053044643,1077.9776810607484,1073.5956263911621,1071.0451990281401,1185.50861630106,1075.955015195308
76,952.7259367096254,1500.555974983596,954.7488842642268,982.0732763185096,986.9512991385216,785.2431809998296,783.2110806589574,783.2110531713454,995.6713375578813,783.2110622573914,918.9881781694476,785.2431842205796,776.0180206489134,770.4262748913753,914.0548343412894,783.2110754579554
77,960.5984016189096,1530.3746830470975,960.3765344220474,1243.0273432118895,1025.7450086392437,1029.8575342992299,1009.870466073421,1003.6028065624789,1113.510154048935,1060.482447276087,1118.1636658233917,1058.7444458998878,1007.7494706376849,993.1155665497869,1116.208979059381,1033.0836636802908
78,914.7997881460847,1499.420016710799,911.1852432821179,1210.8573092440568,967.2093391629122,926.6180628595162,924.2448486724945,924.2428893345545,1097.5400754643786,928.0760571835106,1055.2500480677782,930.1010921371742,874.7752897209886,865.9545532318446,1063.0872076140047,925.3302553460185
79,1017.4252874864468,1523.481765554661,964.02938621149406,1246.1620366809557,924.8126980070497,871.0383551771057,867.9544484154061,867.9448047305381,1104.127638188856,869.1808251295761,1021.5882425020736,870.4795615524137,846.0300877538521,842.4313914778661,1036.881371232422,867.5208567227681
80,1208.657424725737,1519.3220851709984,1200.3104505982838,1343.0693442265015,1084.5835571093303,1074.7537225940982,1065.1701074666005,1062.6422155210005,1223.8981928905346,1081.6431425996025,1174.4519212995262,1058.0741102931722,1049.8511711869764,1056.4551996562245,1150.3407312938984,1054.3660414858505
81,964.7292781081665,1441.3056675517855,934.7946907101459,1321.9879355317494,859.5597764738496,790.8678939500496,784.2933311200798,784.2928338344917,1144.9448670490797,789.2712560672658,1084.6660763174755,791.2920978164336,743.9121740239617,738.6667633753177,1023.3109946102558,783.4382600662437
