id,a1,b1,gamma1,sigma1,a2,b2,gamma2,sigma2,ll,model
1,0.851876533497872,5.8868394328505,4.71970095099056,0.379746046762765,3.87993877248856,-0.277226732134161,1.98109839159425,0.732518936871699,-2128.12757133649,"ts_ratio_decay"
2,-5.21361352180704,12.3015522014909,5.38806504284613,0.905431344264786,-0.203805620269909,0.263293192536519,4.50429025840022,0.226757319459633,-3021.58814478259,"ts_ratio_decay"
3,-2.56314569579088,9.02866894231404,5.02960099070536,0.85146991578511,-0.116227765204138,-0.0750199998612251,4.32531764823101,0.159680908855057,-2830.50385170173,"ts_ratio_decay"
4,-0.876700184663483,1.28554350472065,4.78758990873341,0.141925976903835,0.411206805735049,0.90495684506036,4.58476838116091,0.818914266601193,-1021.93786712155,"ts_ratio_decay"
5,-7.61960146305416,18.8406684495357,4.5389773992055,0.805214519200567,2.62297740798234,24.3550533325767,4.41558080723837,0.113202978544898,-1998.92517012595,"ts_ratio_decay"
7,-7.5582585100938,17.4083969376143,4.8544228541384,0.544495574696931,-10.2027688805317,26.7385805083858,6.40587324900379,0.667643864386486,-1847.064599992,"ts_ratio_decay"
8,-60.7695860676509,71.3226838932715,4.37831704724361,0.460130090799334,287.708490824062,-569.618444565715,5.96904573923603,0.67057791920498,-2828.33174772197,"ts_ratio_decay"
9,1.07943252568143,3.71437154010009,4.320688692071,0.268861903342403,-839.515392406296,983.792817613618,9.76853597642297e-06,1.06214328531638,-2140.62562111072,"ts_ratio_decay"
10,-5.63698358194174,17.953299960225,4.71057301390679,0.77655771705734,0.24714805124984,-1.25401644468179,4.67369243594557,0.216567301116233,-2109.29379859246,"ts_ratio_decay"
11,-326.921318747587,385.467509233425,5.46803960857272,0.272772982836244,0.545416888404253,0.0143515321592086,6.23410763466399,0.756658660324659,-2187.24796468365,"ts_ratio_decay"
12,-43.2207701088401,69.315287716269,4.7672731234143,0.646274057735757,-34.8756146093871,51.1790550275051,4.69721449437926,0.152163000521974,-1635.81811365819,"ts_ratio_decay"
13,-143.157842026827,175.788777938424,4.78834936116333,0.602700894311799,-0.0281211371383753,-0.0302064513881956,4.59529138036524,0.129738375009537,-1891.15489444111,"ts_ratio_decay"
14,-78.5883407841496,98.3093057938826,5.27659231241107,0.385946016316244,0.896230035322158,-1.61877165109011,6.31208200272625,0.786808129011803,-2920.29421255681,"ts_ratio_decay"
15,-5.66044780701318,17.1142312534681,5.19260882557224,0.779233436171264,-199.928290340186,251.134100803693,4.51671275721496,0.146140058342686,-2429.04955714476,"ts_ratio_decay"
16,-127.508118911576,157.617530791499,4.41227560766469,0.394893364568267,0.524855110447444,2.0073712390542,5.69599258846807,0.891986876570824,-2241.80811228333,"ts_ratio_decay"
17,0.0623669644089211,8.69745413934063,4.77813436345342,0.485432923027518,-3047.6797877022,3081.46917560155,3.41203763270177,0.745484282713653,-2882.11802889533,"ts_ratio_decay"
18,-25.2433539959227,38.7702419312604,4.55615214729395,0.640503875984808,5954.06493645305,241.073210818431,4.43796611691484,0.111972016549917,-2566.76745364117,"ts_ratio_decay"
19,0.526789180477833,-0.37337526562073,5.94702360725206,0.200300575857485,-520.861493283411,621.130354377518,1.53779448872396,0.47897562779756,-1172.61830900476,"ts_ratio_decay"
20,-16.5058204990373,29.1317884518178,5.47172900498503,0.739503735156261,-0.763021012476335,-1.14558603210293,5.64614247145062,0.665366073173061,-2629.15318964428,"ts_ratio_decay"
21,-18.850327229963,35.8840556761103,4.97626682651236,0.74536969339013,-6.83038758686045,-34.5967784005839,4.54407166511021,0.155684837572581,-2469.14820113828,"ts_ratio_decay"
22,-0.383846055499257,-0.184135586677124,4.84700241802747,0.730294630972699,14.5471897122355,20.377535306701,0.00025551159509552,0.244962630050431,-901.537070371224,"ts_ratio_decay"
23,-0.228827670541812,0.632917489099131,4.55561191610319,0.216420867683598,-0.201495652863386,4.51144921518303,4.24893252285069,1.06850987675858,-1434.2269991934,"ts_ratio_decay"
