id,a1,b1,gamma1,sigma1,ll,model
1,-1.3149592488196,3.53648789432939,5.06337366268255,0.707108995715166,-2379.58470550339,"os_decay"
2,-0.310902077735927,2.12354264795019,5.22041537307734,0.920126131912109,-3260.42910529049,"os_decay"
3,-1.07581270587749,3.17063581721433,4.9359060668522,0.818434329288056,-3181.70293425392,"os_decay"
4,-0.101944831507308,0.98218906047494,4.86349393677279,0.577546592667932,-1619.88857083199,"os_decay"
5,-1.31657741078099,5.49914349887094,4.58286045639544,0.755050622747199,-2797.12547316951,"os_decay"
7,-1.08641711782934,2.30967551592012,5.39202390733946,0.823117818189839,-2058.01905995894,"os_decay"
8,-0.860262696639457,3.23969428113303,4.56457005728478,0.686432360000895,-3246.93958510069,"os_decay"
9,-1.84566545233454,3.60934936277013,5.00938229206497,1.0450884532274,-2450.5920652905,"os_decay"
10,-0.257881918718558,2.49548368029717,4.82769169453514,0.772721283375093,-2641.50626534451,"os_decay"
11,-0.099658534038002,2.74683287971142,6.03189456277765,0.71305259922686,-2330.07210151373,"os_decay"
12,0.299908264250129,1.30822738571876,4.97055736122086,0.681331064194972,-2454.53412016486,"os_decay"
13,-0.57284810308085,2.69861747654803,4.94249681915091,0.696213545141022,-3053.20983946285,"os_decay"
14,-0.720280510341251,1.85032891071648,5.61827878266613,0.681520908497465,-3364.3725339812,"os_decay"
15,-1.04754546460583,5.86400170588903,5.11372671138146,0.853468321063051,-2849.97172856553,"os_decay"
16,-2.74265351788721,6.88409781690038,4.86391389638333,0.828641370811661,-2816.46089935251,"os_decay"
17,-1.04769797816322,5.98770397518661,4.90731065292862,0.677342532245793,-3051.0241436949,"os_decay"
18,-0.813456436971666,3.1549309525961,4.61472556681138,0.655807406428632,-2996.13639734575,"os_decay"
19,-0.457360773639905,0.973253766926686,6.34669058609379,0.494816976539012,-1243.3151190333,"os_decay"
20,-0.475981717128025,0.457734395472101,5.61272764514509,0.736600443823868,-2676.20213570025,"os_decay"
21,-2.30076100454345,6.87242331356195,5.0231808140496,0.821299483438311,-3082.06331532286,"os_decay"
22,0.314551492455348,0.47093832459138,4.54681895716254,0.471854835062753,-1124.66722684751,"os_decay"
23,0.380510438242279,0.334348821922403,4.69364421099343,0.712121233188282,-1872.81351784628,"os_decay"
24,-1.98176629016239,6.58661912810055,4.80730413142932,0.805967211319108,-3589.22403079849,"os_decay"
25,-1.1315118349142,3.16567055999665,4.56839689732433,0.592796069640062,-2750.82343301547,"os_decay"
26,-0.805039925923795,4.81026702444479,6.31045174231956,0.553084808322305,-811.814098721627,"os_decay"
27,-0.29632513162809,3.53012086063289,5.32896044527024,0.75921068591738,-1886.71322887167,"os_decay"
28,-0.256703393844922,1.92657321295851,5.00154600140164,0.690211999042624,-1120.50661520311,"os_decay"
29,-0.171425804374706,-0.606135432408541,5.36987705000809,0.842964811094884,-2170.46063422356,"os_decay"
30,-1.37897319311533,4.97236060105482,5.69361912593754,0.979370471251054,-3214.21641740983,"os_decay"
