id,a1,b1,gamma1,sigma1,a2,b2,gamma2,sigma2,ll,model
1,-0.908058529537582,-1.36640324879408,5.3080403121131,0.733081392720721,-8.54916300792987,41.0715268154309,6.71394073276174e-06,0.180746886470983,-2022.74060896248,"ts2_flex_decay"
2,-0.940059874481189,-2.85885646448066,5.44630889031867,0.993546590611745,-1.22859922882109,8.47744465986616,4.23951648181836,0.801778354873918,-3193.67265596955,"ts2_flex_decay"
3,-0.751092170244564,-1.65226028574347,5.20666640894596,0.872263305502582,-5065.44207706171,5406.2336622343,0.621122525133602,0.188960733958667,-2719.7425140181,"ts2_flex_decay"
4,-0.13334010300379,-0.394625607580027,4.94532316447359,0.612692302494933,-1121.3392541182,-1890.08430630871,10.6201333806259,0.0897470753606106,-1395.40349807309,"ts2_flex_decay"
5,-0.8767387657374,-1.68089072484506,5.26732561145002,0.990443940924228,-1389.06087833323,1495.88099918686,0.269865973665064,0.160819945710605,-1528.72136944561,"ts2_flex_decay"
7,-48.9552227833992,63.4283142090491,5.65188063390711,0.811382344125251,3.12875699247678,-8.55099527010041,5.42210937939783,0.164679041118529,-1717.26267152778,"ts2_flex_decay"
8,-733.061644534576,827.113196656481,4.52377785490602,0.761452408837781,0.488642701044559,-0.637556738046157,4.38100553145734,0.268364640427481,-3073.97715810489,"ts2_flex_decay"
9,-0.929141198489485,0.523690747343323,5.2020047865354,1.08637240113929,-1737.69055677583,1863.58363538298,1.70338386340164,0.188530909630784,-2355.80868418974,"ts2_flex_decay"
10,-3.12444271176648,-5.8516078703763,5.09160367748464,0.907631751946323,-14.3048170922329,19.2998995375989,4.45062701522451,0.221820401133812,-2211.54687402971,"ts2_flex_decay"
11,-77.1975040083707,87.7327816252208,6.1062122799998,0.731290457210833,1.16122626288584,4.28719763001116,5.45537885795972,0.507880494772411,-2303.17953355481,"ts2_flex_decay"
12,-837.726796777408,922.480049862954,4.94863207133013,0.764669554533187,3.45330167948616,-2.72186440889108,4.69421627058962,0.20405024104527,-1983.8773666251,"ts2_flex_decay"
13,-0.612993139423503,-1.43152366211262,5.20778182637005,0.771086913857726,9.91180858301024,-8.46239376819162,0.000148705159676433,0.131307800206877,-2086.41378022531,"ts2_flex_decay"
14,-15.9899858397271,25.4172068933736,5.707762128658,0.686885605879696,1.49571280372024,-0.669642478498669,4.98491063564345,0.251892381998266,-3160.0186729792,"ts2_flex_decay"
15,-0.83453102324939,-0.964577688572477,5.44779000375011,0.878404581959694,4.05143184627653,9.97527357602389,1.68909234263262,0.567370179054164,-2710.25988359481,"ts2_flex_decay"
16,-0.924921041358149,-1.89742331993557,5.25902107154917,0.867665072765982,-100125.100845792,101874.82363096,3.84177930099957,0.136771808655058,-2355.34514438563,"ts2_flex_decay"
17,-5966.954812155,6123.99777750017,4.44902230959545,0.785794828348825,5.57601795782211,-5.25784995018674,4.77011428110889,0.372042922591183,-2909.38707348911,"ts2_flex_decay"
18,-0.412596812503234,-0.524377304177431,4.80783052671254,0.780777314103991,-6753074.32477044,-5504925.46865577,2.29878729774047,0.1940773860475,-2498.3310200688,"ts2_flex_decay"
19,-0.56017182292879,-0.338970767151846,6.41870970780663,0.491417980476614,10.1901120095274,-2.54530928196279,2.74226263876229e-05,0.162153308777956,-1189.8146992799,"ts2_flex_decay"
20,-1.14053118871675,47.0353582876264,5.69832015366216,0.71172193610086,-19.6680340984732,28.7785041883679,2.82986658909843,0.234981561430207,-2603.92112286326,"ts2_flex_decay"
21,-0.935956698578916,-1.60419898800241,5.35342535166404,0.889712465917968,-37.6256530498669,48.1027594038412,2.50292903302958,0.194636488470717,-2845.71842041329,"ts2_flex_decay"
22,-6281.83629948876,6418.6838622032,4.40170848955039,0.132755402013258,0.306778798999633,0.657770632781534,4.70247138370862,0.65177014331075,-433.628109384339,"ts2_flex_decay"
23,0.0390731339882971,0.0536512665511472,4.57142247077545,0.216985653417983,2.22647529774427,0.120931183405004,3.57509275785728,1.02929935538855,-1480.8864674326,"ts2_flex_decay"
24,-13.8863188803167,16.6947962144656,5.08917753276918,0.914745247071127,-1.67323526473603,4.11012970911204,4.48675465496824,0.163167021444872,-3019.54174948477,"ts2_flex_decay"
25,-0.60213364079984,0.57662952707101,4.58000533019954,0.318553199196478,2.98645820948849,4.14971536686304,3.47456683737226,1.13295734676332,-2463.0044376568,"ts2_flex_decay"
26,-124.005656905139,149.87713161588,6.09187312152386,0.536591163450766,0.0476308829575551,1.09044235903335,6.6770713467577,0.507010697112163,-792.034094132364,"ts2_flex_decay"
27,-0.775125016326155,-1.30452781310794,5.65286057403336,0.805434457641141,7.00596647244831,-1.92335499506251,3.20522536052711e-05,0.14355183925852,-1785.46310682324,"ts2_flex_decay"
28,-0.472024836966076,-0.20763552989672,5.22896408688243,0.786243513340739,-552.00280265751,718.246267209758,9.0851379850491e-08,0.262647612656033,-1075.67295592998,"ts2_flex_decay"
29,-1.0976236948037,-2.16659249284575,5.50811830914431,0.820915482356824,-2.40383428793498,16.7555951106394,9.97933547831471e-06,0.169973381455865,-1979.20968004865,"ts2_flex_decay"
30,-91.6539614071253,108.780401595565,5.78283824328938,0.969924988619929,27.933061609084,-33.2344887294689,5.06814135984529,0.681222866662846,-3187.53634729355,"ts2_flex_decay"
31,-0.380335937015767,-2.34227397855576,5.64673942445885,0.752277030400186,5.02449157631643,15.8640357861509,0.00227071132102333,0.514740453147695,-3046.50798719905,"ts2_flex_decay"
32,-0.130235661793738,0.991142124483962,6.21431321769576,0.505331982217142,-2098056.90109102,2097411.92114414,7.07420155955083,0.158716663817883,-1018.02450173516,"ts2_flex_decay"
33,-2.47748210914781,-7.36831512517358,5.69013450573783,0.692734742301805,0.69628654786416,3.20264100953886,4.73813230642059,0.378989637783772,-2700.1803467214,"ts2_flex_decay"
34,-1230.10463243578,1319.99720919514,5.57988062624083,0.805400212417735,18.0838157354188,-30.22397807845,5.70641770259994,0.408833977098995,-1394.03357374867,"ts2_flex_decay"
35,-0.86412445868962,-1.34228006990368,5.34525112834732,1.01021220054112,-33.1751275775027,61.4738288584484,3.54338840495591e-06,0.13089705668752,-3486.89040720122,"ts2_flex_decay"
36,-1249820.96581213,1252835.10316148,5.12636885960588,0.815790588618661,9.61666083496023,-13.7125398433307,4.64146559817442,0.180449921643787,-2598.32605868769,"ts2_flex_decay"
37,-0.379862170034717,-14.8419670464832,5.5232477497767,0.649942291104168,-358411.401578731,360976.09036674,3.55633812850108e-07,0.39410530836724,-2561.09922594987,"ts2_flex_decay"
38,-0.202945944516749,-0.832664710783703,4.97843233541777,0.689206715225742,-36.918011568742,63.7691970673387,0.000677143210047527,0.176461830865115,-2596.64690957505,"ts2_flex_decay"
39,-13.1416084953246,19.3938519228519,4.70149685401821,0.745149157243089,-1.30378685794687,2.11491526970709,4.47714134085764,0.14937714579532,-1051.47574531656,"ts2_flex_decay"
40,-344.780310785644,388.18332554896,5.96480848002048,0.671304024835678,1.32995315819355,-4.27787189314676,6.1594681422516,0.557143622956292,-1787.05604507677,"ts2_flex_decay"
41,-186.429822131355,223.970348231508,4.97775504053225,0.917639307955163,-0.0255273863472096,0.490040783522701,4.65938180520117,0.148280728852933,-1228.90404460404,"ts2_flex_decay"
43,-0.109571755606889,-0.117373339510826,4.68803033231065,0.533108671810808,-131.709392991255,-265.497536991475,7.4701378960043,0.100132214219146,-731.038097799495,"ts2_flex_decay"
45,-0.0511977060550336,-1.28817592989931,6.38206917001505,0.46038770099671,2.37590003373965,1.7474735389116,4.00087734600971,0.482680279525364,-1670.43162025938,"ts2_flex_decay"
46,-593.46000138961,664.502598446106,5.22455712528926,0.850697274126111,62.6244496704976,-73.0081397737721,5.35029741665609,0.349094103321042,-1968.3004424701,"ts2_flex_decay"
47,-1.03558924865296,-2.83221022620314,5.8433811579681,0.74565805417872,3688.70227049199,-4889.40672455791,5.95433576671718,0.202317362709981,-1164.24095747115,"ts2_flex_decay"
48,-0.435186767888647,-1.04406558608992,5.55733671454613,0.476237301175856,44.9890659810515,-107.718776437231,3.9589743532574,0.143911791175885,-958.567423160254,"ts2_flex_decay"
49,-0.176845426232461,-0.656083229519216,4.96738349230041,0.758707640297652,-145.550250833903,188.14325048028,0.518342914735935,0.151096099441398,-1403.6190676607,"ts2_flex_decay"
50,-1.05600917081326,-549443.44701727,5.77333741929673,0.868458496225263,15.3017860854353,-34.4074592724391,1.88054364940925,0.214382575555172,-1682.85464087584,"ts2_flex_decay"
51,-38383.7028066414,38822.3504044949,4.79714585319698,0.684912339686005,0.134360002049418,0.898852680235765,4.66321241127065,0.15311380706575,-651.963492985387,"ts2_flex_decay"
52,-1.22667224263462,1.88215174195016,5.74446149153314,0.703710243917174,-1.97808743232404,22.1314615532043,2.41420071017074,0.159841641327316,-1596.64617560012,"ts2_flex_decay"
53,-701.025406574132,796.823178781408,4.83464357963636,0.946757925510956,-2.39041430465481,3.63914714025615,4.37912817550553,0.286924161192027,-3442.61837118934,"ts2_flex_decay"
54,-1.19878286082507,-0.983495453780685,5.80221086909476,0.856273444651432,5.10703145840489,10.585073858031,5.05557774495049e-06,0.231296747578674,-2799.63864586004,"ts2_flex_decay"
55,-3070.56451169745,3256.09601417536,5.18677160552597,0.978389839303271,-3.6010840543518,17.3721754474792,4.65934653244082,0.192307587960178,-2882.18745580354,"ts2_flex_decay"
56,-18.8687554037314,45.1533378950228,4.39741621717253,0.650319108603168,1.4052689615262,-1.53992450156522,4.92851586253986,0.516452547578065,-1551.35748178865,"ts2_flex_decay"
58,-695.269310586693,758.585377217738,5.28097636983863,0.891646640091685,53.8398439245485,-87.236360076009,5.81557020706637,0.458748104894875,-2034.30166984532,"ts2_flex_decay"
