id,a1,b1,gamma1,sigma1,ll,model
1,0.269003657177632,5.60904128314143,4.66027394220017,0.653747034735983,-2205.47235248656,"os_costOnly"
2,1.34525630857809,2.56111819002581,4.99446537178422,0.895221799379049,-3193.44978484298,"os_costOnly"
3,-0.040784585537822,4.33932265756185,4.73964427602434,0.798190421201274,-3116.30801608974,"os_costOnly"
4,-0.268934867942459,2.67992138602442,4.69393630695702,0.567185797243623,-1586.18226901769,"os_costOnly"
5,1.11367632945853,3.95074583462178,4.43994169211779,0.717689067151327,-2672.3860426338,"os_costOnly"
7,-0.874614869115795,6.8346355188851,4.85758891342951,0.794347881885786,-1998.21265948241,"os_costOnly"
8,-3.10645986917485,10.9591883961494,4.21514439654885,0.658331016783346,-3116.7748853055,"os_costOnly"
9,-4.69726819501128,13.6621708583281,4.24796079949422,1.01040410963882,-2394.05888398896,"os_costOnly"
10,3.38627859802437,1.28099908609466,4.52325299283472,0.697631253785813,-2408.938162848,"os_costOnly"
11,-10.0639050582807,21.7355688186864,5.33686940343769,0.646053730845256,-2117.33413220354,"os_costOnly"
12,0.947969444692029,5.85214756064467,4.59394406002337,0.564675527571181,-2009.26729442986,"os_costOnly"
13,-6.87328110915009,16.0104954024126,4.50842078998744,0.621580822503847,-2725.62480132241,"os_costOnly"
14,-9.72072930227117,19.6940395385922,5.13621943675641,0.636358999912447,-3141.60788355415,"os_costOnly"
15,-0.482773124829067,9.44547292421046,4.62148370458473,0.762491189920834,-2595.11744183105,"os_costOnly"
16,-5.49837310032994,16.5277468561538,4.26672081944937,0.781491564050843,-2682.42282213744,"os_costOnly"
17,-3.14887224848311,13.2210908349532,4.59175325465008,0.598434236967659,-2683.90165914739,"os_costOnly"
18,-3.97152434378804,10.1495925172024,4.37311549317334,0.6271516300241,-2861.87666574997,"os_costOnly"
19,-4.26739511074763,10.2583457176076,5.82522802870063,0.4723811440595,-1162.66883802239,"os_costOnly"
20,-0.803518384197785,2.87653307571154,5.44739424246166,0.733555872858446,-2666.24523782587,"os_costOnly"
21,-2.92977693509671,12.8634113149392,4.50215573991269,0.722555719102572,-2759.01196105408,"os_costOnly"
22,0.764234271695424,-0.550075744185789,4.56137597797474,0.471130439302322,-1122.07994556656,"os_costOnly"
23,1.33689851531155,-1.26538531490525,4.70646807679056,0.708057336065405,-1862.88388035238,"os_costOnly"
24,-29.7027660624844,45.5091983136983,4.29372623275205,0.691357065634886,-3131.67174775725,"os_costOnly"
25,0.312024745056972,3.40165331506285,4.42228162550328,0.576256089217688,-2663.94778008354,"os_costOnly"
26,-0.496565288908776,5.52475995249593,5.81941927406722,0.574105082534104,-848.443792263637,"os_costOnly"
27,-2.71856456197893,10.2089320616626,4.8850025233411,0.708688172810606,-1773.0881377336,"os_costOnly"
28,1.09663535275886,1.01275506366667,4.83046411628944,0.668657263502801,-1086.59025747775,"os_costOnly"
29,1.84247898800221,-0.891244027737737,5.17835181259567,0.835970939069939,-2155.9723084933,"os_costOnly"
30,-82.7206691184321,116.603768924544,3.88671672353343,0.871864102094868,-2946.89687092323,"os_costOnly"
31,-3.25066140018303,6.97371808697797,5.41815034382573,0.717949256322718,-3031.09146131885,"os_costOnly"
32,-0.777246384830613,5.5316726389132,5.69856954007473,0.448682582270016,-941.068426804356,"os_costOnly"
33,-79.1196989563933,104.695990967269,4.44543305158807,0.552964443239476,-2324.87966058397,"os_costOnly"
34,2.53971856669963,-4.43312337992968,5.53271168379173,0.766323019093306,-1670.38838859344,"os_costOnly"
35,-15.6254089102389,35.7618052814739,4.14420389094135,0.685163290259084,-3025.72312005731,"os_costOnly"
36,-10.5047881059384,23.7579979563887,4.70046221111918,0.524204826195507,-2522.51350629585,"os_costOnly"
37,0.647261470248177,2.14269357784789,5.30534519420065,0.571626332100231,-2583.30460990562,"os_costOnly"
38,1.56659144257013,0.766766517543359,4.76955659421799,0.619288823032235,-2787.31331137374,"os_costOnly"
39,0.483097847464799,0.691100186231888,4.52318959023842,0.535908045285157,-1618.91694425674,"os_costOnly"
40,-0.692592844469866,4.88412615975883,5.70282866325654,0.644224981437675,-1733.23934904193,"os_costOnly"
41,1.86828162407758,-0.427650934823039,4.86303466314583,0.746677342137643,-1734.17040303166,"os_costOnly"
43,0.558716615456089,0.66935606632826,4.55405458487404,0.426656172762621,-1365.15826294087,"os_costOnly"
45,-3.44049693217827,9.45179988597546,5.9514689647254,0.437822783415035,-1523.4104637682,"os_costOnly"
46,-0.403372543490407,9.79157958314726,4.76087289693069,0.674606078680891,-1825.05570766599,"os_costOnly"
47,0.996407429776399,-0.0699309132656155,5.56447164202689,0.747611520470268,-1287.12415538547,"os_costOnly"
48,1.63210943519514,-0.299528908056153,5.31864645759807,0.428764682359977,-1059.5134183552,"os_costOnly"
49,2.14490936949871,0.798132550666902,4.5819326117741,0.615698036206959,-1528.85958456224,"os_costOnly"
50,-0.76802725389983,5.45352919460876,5.11795499660704,0.858811418113324,-1749.35775049849,"os_costOnly"
51,1.63623391104856,1.09339764670147,4.67567643717239,0.490358486077425,-1064.4242156602,"os_costOnly"
52,-0.158733441034644,7.95985171295502,4.84943224274048,0.622538155131704,-1429.76712161059,"os_costOnly"
53,-6.01367471133996,19.4034039044335,4.26204079510443,0.707905171014626,-3291.33071014059,"os_costOnly"
54,-3.29646414754053,11.7774872174504,4.96035297612463,0.809345578730547,-2826.54511431478,"os_costOnly"
55,-10.0875963693714,28.1876464240914,4.58854468723536,0.574680201041608,-2463.51136224969,"os_costOnly"
56,2.34961539750316,0.925398673109304,4.7878830925056,0.669537182497017,-1571.43685497162,"os_costOnly"
58,-2.25466753449217,16.2584102756188,4.05325459074581,0.649219965517409,-1680.7840838414,"os_costOnly"
60,-18.1293799138361,31.3350718826199,4.28152787952524,0.669781952532456,-2515.81283231744,"os_costOnly"
61,-15.7975952367902,29.6900848941706,4.30559037166055,0.719405259721288,-4101.2848540039,"os_costOnly"
62,-0.64410304513508,5.21519164470583,4.2104242695219,0.80887341107935,-2992.92764336098,"os_costOnly"
63,0.353593748971808,5.16826048382321,4.52785297615362,0.670249213443839,-2656.09728101928,"os_costOnly"
64,2.01919429958812,4.20175194611065,4.24511979492083,0.716272337633517,-1917.62559593048,"os_costOnly"
65,2.86721774430615,-1.42096025452779,4.33143133426185,0.613437959182282,-1942.38785096745,"os_costOnly"
67,2.51512787540917,1.9904384894992,4.41520868527731,0.594631412746081,-2469.89641886396,"os_costOnly"
68,-1.86364741280916,6.44445447430441,5.8528923885805,0.591389659312653,-1981.24060341772,"os_costOnly"
69,-5.77651773448048,17.1749289228632,4.50136406036349,0.811728409727686,-2935.09656044125,"os_costOnly"
70,-20.8261316361732,43.3177475211445,4.13146870245037,0.393217277769406,-1247.85222607163,"os_costOnly"
71,0.39104302547538,7.41321800569285,4.2391557222397,0.656079787331873,-2379.95304310578,"os_costOnly"
72,1.99198407560357,1.4517871003993,4.7079269872568,0.7808414816181,-1976.41400224128,"os_costOnly"
73,-4.24654770088935,13.6690779457348,4.27546401235281,0.898880975550977,-3440.93939447076,"os_costOnly"
74,0.214313107222239,1.83089513459653,4.77436293277405,0.619066100564625,-2366.33681137791,"os_costOnly"
75,-2.61727412049703,12.4256999961765,4.37179074931381,0.790468316615034,-2818.64875231976,"os_costOnly"
76,0.0158350810098461,4.17095826149055,5.11437498797937,0.619015870164782,-1503.84201171674,"os_costOnly"
77,-1.65495747214407,10.869425996754,4.49954531056403,0.620491279060275,-2813.78407994978,"os_costOnly"
78,-2.79281832053084,11.335003621631,4.96737084818174,0.61062382787224,-1974.44208962779,"os_costOnly"
79,1.51194236140056,4.9605736065373,4.27569221474137,0.620607423622306,-2040.11636649961,"os_costOnly"
80,-13.1384783331681,20.4444223060981,4.7350952501474,0.639958693603201,-3155.07185108293,"os_costOnly"
81,-12.7223884586722,28.598483428237,4.27699613818038,0.578225333684432,-2285.88944058959,"os_costOnly"
82,-49.2821351606064,73.6707597294052,4.07186939576699,0.761234476655649,-2908.86452073554,"os_costOnly"
83,-9.48872965076059,24.2518014351854,4.50955481722405,0.628042174310703,-2424.53561261524,"os_costOnly"
86,-9.10213409849868,19.249045464355,4.71042361324539,0.749456904558837,-3787.2824344778,"os_costOnly"
87,-30.5570471329832,51.0380007350075,3.63608415789483,0.728836435785558,-2384.99427994735,"os_costOnly"
88,0.822049664909636,1.08914165434144,4.64885991143155,0.610124971248495,-1760.90877771597,"os_costOnly"
89,-9.97059960263957,23.6920920057756,4.61805927723397,0.613333592048621,-1883.43675209976,"os_costOnly"
90,-0.837037620398784,5.40521936328364,4.45025732959256,0.565604614237092,-2198.26434045843,"os_costOnly"
91,1.85674149465245,1.36428908064327,4.80139214266742,0.907848346259583,-1770.5069408705,"os_costOnly"
92,-0.904499313996193,3.60145841560676,4.44456394840903,0.599962917962315,-2721.42908098064,"os_costOnly"
93,-43.2014302263215,69.2130798052156,4.18320528046609,0.544064947054891,-2678.69284857508,"os_costOnly"
94,-0.616224019916646,7.57082109009677,4.98449430256682,0.690356635740642,-2912.43183096723,"os_costOnly"
95,1.43734887715865,4.23325419437396,4.73228802758949,0.796616628275409,-1746.82227311849,"os_costOnly"
96,1.77242630529569,-0.252761048845581,4.21275981706341,0.643060234000475,-2308.66994496977,"os_costOnly"
99,-174.68807424062,217.003136849051,4.07775442968641,0.427304777677581,-1653.15502933817,"os_costOnly"
100,-0.892284978979716,8.6530750339115,4.63979989215652,0.574097130148835,-2833.86041392607,"os_costOnly"
101,-1.3886207560268,13.6442755940299,4.72166744293456,0.510802283008343,-1875.38626802623,"os_costOnly"
102,0.1729897369817,10.0166010219118,4.43499213311982,0.75376904404879,-2436.16128984386,"os_costOnly"
103,-14.1669935431333,20.928180405871,5.60698477682388,0.546034845799219,-2531.12340519572,"os_costOnly"
104,-3.60484247837952,14.4631762833611,4.63737951532896,0.72168380685808,-2899.11973920636,"os_costOnly"
105,1.00204585266116,-0.434942132359676,4.69285766727596,0.704309341596373,-2690.23356581156,"os_costOnly"
106,-28.2618474909689,50.059179731982,3.96590835919603,0.697376326012442,-2730.95183433396,"os_costOnly"
107,-6.79242933633187,20.2761115877784,4.37867706074606,0.661151786197248,-2928.05056718344,"os_costOnly"
108,-4.67091912011202,16.7230713832155,4.2095835070468,0.603687586535296,-2051.55473935813,"os_costOnly"
109,1.79582871412545,0.919262948296971,4.29675752863195,0.522515143840124,-2530.45487975196,"os_costOnly"
110,-2.20395165967755,6.98475717924666,6.37327227086578,0.597807450243764,-1798.05053419413,"os_costOnly"
111,-7.79893173400946,11.3985345091473,6.76791338126084,0.741649467574604,-1864.8998569173,"os_costOnly"
112,-12.0411210060983,27.6319724075488,4.15721427464953,0.724153759185956,-2496.01781940366,"os_costOnly"
113,-6.92404035862068,16.3747618948766,4.61093935419548,0.655997170379048,-3481.71300998267,"os_costOnly"
114,1.67402684651136,2.58801822818732,4.58277028204256,0.539731917668917,-2274.39528479304,"os_costOnly"
