id,a1,b1,gamma1,sigma1,a2,b2,gamma2,sigma2,ll,model
1,-0.706659517074403,0.906819773417862,5.23674115606104,0.748874611661323,4.03840667802907,-42.6980764963049,5.2253312645872,0.149349728687117,-2120.18657535251,"ts2_ratio_decay"
2,-1.23007013050575,-1.63166706864084,5.7612762352544,0.900867872193893,7.17914987538689,10.198643641531,1.48425218164395e-06,0.246050190691024,-2904.63675206232,"ts2_ratio_decay"
3,-0.749794442456644,-0.536967368508144,5.12750306316759,0.848939897888145,1283.22283192699,-9622.27819983389,2.95414534333604,0.138469618413972,-2906.12237285577,"ts2_ratio_decay"
4,-0.149443085637607,-0.177631714539706,4.95298716799708,0.621904021551039,-11314.5783928426,11511.2500228523,5.55703719100752,0.0911953056574534,-1360.01216716319,"ts2_ratio_decay"
5,-2.43823948354264,-5.34658020081834,5.19299547554406,0.941822143862794,-0.291436013580656,0.99953909663024,4.20222522356282,0.124629634461094,-1798.40215346833,"ts2_ratio_decay"
7,-1.14883413623547,-1.88108576207277,5.80562448738403,0.813573233859632,-1933.53710159028,2038.6913424514,4.40973704782325,0.176183808238506,-1759.76785420562,"ts2_ratio_decay"
8,-0.337460928008842,-0.318361335383934,4.68797475030948,0.728285911232856,-4.58103451136733,0.252525761525381,5.90444189227626e-05,0.13737190930704,-3081.88421998483,"ts2_ratio_decay"
9,-1.03436807662847,0.571511174073142,5.24291321382516,1.08818316086703,-5.6688328508008,-3.49432188135447,2.53914954740177,0.201362954994833,-2331.39180261115,"ts2_ratio_decay"
10,-1.62437112018117,-1.06501512066699,5.12120738530948,0.892933528723357,-15.1381813311483,21.7838151268778,4.06023939425749,0.206518068666715,-2258.15890483068,"ts2_ratio_decay"
11,-0.899352681276185,1.22317705888284,6.28686583226379,0.738401624055501,-363.932425200765,452.978755996642,3.50291414174196,0.321530110596055,-2210.65972673184,"ts2_ratio_decay"
12,-0.574688827076992,-0.764919639238439,5.20402372450353,0.781823428295449,-0.861531144584851,30.102327782866,3.87064700143736e-07,0.131154658450544,-1774.02794587612,"ts2_ratio_decay"
13,-0.620540998227403,-0.432419744057401,5.17268488801955,0.765790836445467,-47.0856920578792,51.2013074404892,1.33584544440865,0.109979027409505,-2459.50721394254,"ts2_ratio_decay"
14,-0.672343402379584,-1.30159005636288,5.76279855579777,0.687522482618827,-9.33340125261928,51.32360579435,4.65747859248789e-05,0.213619382648855,-3123.5538197382,"ts2_ratio_decay"
15,-1.21214399796304,-1.91218401427037,5.75378332462152,0.868714878581665,7.18801189169839,11.8390553499337,2.3396582132e-07,0.162539204724151,-2537.72222890583,"ts2_ratio_decay"
16,-0.988433767993293,-1.54113069303384,5.33174334978134,0.866954872807409,94.6389509647106,-345.503158664144,5.50444170133442,0.128234638476841,-2170.59719469649,"ts2_ratio_decay"
17,-9.89284990070016,10.9480761601965,5.20445544582638,0.849488556875137,-14.1164703024399,18.5516439920221,4.8271347235016,0.155725578930034,-2748.08077810456,"ts2_ratio_decay"
18,-0.239444748470114,-0.550495808752545,4.71341660794312,0.705865137520705,197.633545587963,-3702.209907953,5.19432228560428,0.118281440768426,-2639.5003371254,"ts2_ratio_decay"
19,-0.621942229713195,0.154400777944362,6.50434184883393,0.481453463459665,-27.9226417992106,79.5021775454385,1.08103102904649e-05,0.237279510931304,-1135.1146084482,"ts2_ratio_decay"
20,-0.889095382354857,-0.428990960230182,5.64725803248584,0.74624974797208,45.1473359012977,-593.478592696946,5.61804648158957,0.219826687370211,-2582.05840413409,"ts2_ratio_decay"
21,-0.852125602034451,-1.12168813847902,5.38002345912562,0.89862102399351,680.766428987202,-3446.17371731405,5.72245507095428,0.127750365218299,-2709.62200422975,"ts2_ratio_decay"
22,0.199972645634517,3.63855066714169,4.3846026939137,0.0553653525729444,-4498307.22228398,4513508.42175653,1.65336421212974e-05,0.4846818672868,-1034.26864009617,"ts2_ratio_decay"
