id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr0,ptr1,ptr4,alpha,ll,model
74,-1.64178331325696,-12.3045855301021,-37.0563577977946,0.115053281620339,31.0895468578247,-2.83125061817138,-0.536393565815352,0.688220389935416,0.4214372146888,-0.114108329479947,-0.0876182983781819,0.999999997713041,0.973388089515364,0.903294935885072,0.999999998921354,-569.701380235943,ts_decay_stop
75,-1.17814613126207,-8.4138634380354,-36.1893745748055,0.0270725155575513,34.1433901744829,-4.44506205046374,1.09478580772748,1.08559622266083,0.257332562636624,-0.131015866984743,0.35862394935069,0.999999998277506,0.999999973787293,0.977326613274552,0.977649204701201,-523.230104092245,ts_decay_stop
76,-29.1091500221439,-14.5723753794734,-69.1382608852674,8.52993584174613,61.6886312291007,-3.409821813352,-0.243393636282077,1.51998171390597,0.269609029675605,-0.0502319678901212,-0.208943321830082,0.999999974901893,0.999999977670653,0.999999421122636,0.970418162728319,-377.493658730192,ts_decay_stop
77,-0.994148248394981,-77.7942754915045,-212.279062837366,0.0093569694287607,201.263819010507,-5.4267718469058,1.0479781231721499,0.802749560460981,0.397103429095101,-0.0866760928458039,-0.0787387636363166,0.999999998113196,0.999999993921066,0.898005436450979,0.972627575394389,-499.854943710673,ts_decay_stop
78,-1.3739176716989,-35.8430840916591,-147.474463699769,5.10488102570426e-5,186.820273242839,-5.89500559206311,1.16158478283514,1.64010311660632,0.583939222305687,-0.0800463327029496,0.80355929702506,0.999999995683757,0.989569719209114,0.935695035093376,0.933192890824405,-448.209570178204,ts_decay_stop
79,-1.378199878482,-53.6849744833788,-215.265970988989,-3.43395268735653e-4,185.168145917434,-4.41346101270948,-0.715718403377957,2.05805738910412,0.528302947953302,-0.114789228279399,0.394767992404051,0.999999997936475,0.994501029056061,0.995071091473582,0.914956842209861,-420.42201159665,ts_decay_stop
80,-5.72665758003959,-53.4476541829087,-182.32758941153,0.223587385719278,207.89902527566,-4.84305781927865,0.629149140438199,1.02008784505973,0.360519569091983,-0.0640149009957247,0.317577054176801,0.792468035292309,0.999999998911608,0.998668862172703,0.922971784206489,-522.307856121661,ts_decay_stop
81,-4.11678822418526,-28.4961380775088,-126.547771145111,0.129974593904314,160.442266179675,-4.1078180993831,-2.18255550202456,1.11432952475343,2.60210268081805,-0.0808745100175044,-0.026632224540668,0.999999996001763,0.999999998672302,0.992566741843405,0.922301019520813,-380.35084448195,ts_decay_stop
82,-0.451571162177791,-7.74582331045949,-21.2480878877801,0.0140266044230301,21.5762466599364,-4.42368813108346,-1.84214391253325,1.55709736608144,1.11431809145715,-0.0774234033345845,-0.101030847017973,0.999999985744378,0.999999956956059,0.990700120897956,0.848141964610115,-445.409935223629,ts_decay_stop
83,-2.42394316014939,-401.061095865204,-1282.52146394639,0.0510470127818762,2012.55811588588,-3.61377296328346,-0.90111679744816,0.882219038587424,1.95911877220635,-0.122242611949153,-0.350390221561542,0.99999998640512,0.999999955497747,0.997517596052086,0.915846035640007,-424.574961026884,ts_decay_stop
