id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr46,ptr28,alpha,ll,model
76,-25.7588721795391,19.6995442064405,20.4037323676222,0.245832537499817,-0.0746928854515884,-4.13730498190093,-0.754936952848304,1.6460382710933401,0.270418840678451,-0.0651050847267397,-0.28739635833842,0.981936171815401,0.999999707691129,0.999999990567116,-483.723788118312,ts_ratio_decay
77,-39.0552477444001,31.9334212124379,34.3545185628163,0.174200939505665,0.461025775421872,-9.04991086550108,3.88261202492164,2.89351411035187,-0.871740718374884,-0.186620268468927,-0.549250174276269,0.149641876147894,0.517617118097714,0.970579899066329,-542.690501378711,ts_ratio_decay
78,-6.76971891243694,3.13082722748229,3.06728783189314,0.0142653624068639,0.718082472502184,-6.12972298810869,1.27895243004848,2.67401371837019,0.277404194049257,-0.271281287391134,-0.171554067131184,0.424607758950293,0.594430196722036,0.900794135798828,-534.683045188693,ts_ratio_decay
79,-6.81895120114853,2.81714344125123,3.1187211206524,0.17814803635773,0.296332221625841,-21585.850224311,-16697.6058798266,11012.1452099393,8648.82066412164,-1135.39255664319,3828.38729315417,0.320163785628383,0.434637695924537,0.917223924078342,-537.978833258734,ts_ratio_decay
80,-6.54346022589805,1.57657173356065,2.97815309939707,0.222788023468927,-0.270080682058293,-2860.55110923403,1540.60593044488,2561.41037504023,-1377.48399021517,-0.431055618862397,0.0751650797695048,0.366941513371002,0.764855195384558,0.106503003483706,-597.888734272229,ts_ratio_decay
81,-7.45341509409481,4.03889870109371,3.8483000845095,0.0200007492021125,0.302858376389862,-6932.46057730664,-3226.18833014493,6490.81101930023,4109.4959346217,-1988.91693183571,1673.39771180541,0.241614968293761,0.244847580129847,0.973473380824017,-558.399744012598,ts_ratio_decay
82,-9.19515081962146,2.36613164896614,4.52552008267682,0.243248094336837,-0.306058245852898,-5.6928552094063,-1.15649563815134,2.05207159122111,0.588264339224301,-0.0978986521254979,-0.00300669437521172,0.702315619279909,0.867716301282865,0.850040455704788,-500.354164567869,ts_ratio_decay
83,-9.51557464195051,4.35600873991591,6.01397207454883,0.209646024349903,-0.00570521249013824,-16829.7519857237,-25206.3654509275,23104.8731295712,27613.9566285532,-5112.47109101466,-18113.2615778381,0.182433748722199,0.359622883701282,0.905169127053704,-525.937424363597,ts_ratio_decay
86,-304.745878991886,-75.7331319209637,299.774113920732,-7.90919595645672,20.1903732154726,-6.66280044272633,2.12399910074571,2.6821055046547,-0.509571205585791,-0.281476280625412,-1.00459288499361,0.297333060129805,0.339697714416499,0.979748561471168,-569.936514169258,ts_ratio_decay
87,-9.00259067483039,2.89020432524006,-17.7352334030742,0.133751031634021,0.499488688884379,-4.73093001098093,-1.11274563148086,1.68165613655374,0.641171874955819,-0.0671608944361917,0.0611807334517675,0.408334140695803,0.592369265465346,0.996113805745483,-563.649617037509,ts_ratio_decay
88,-3.73059210396649,-0.0153133141458569,0.174645277222526,0.0710407161877905,1.47227254579638,-262.24599649195,96.5433765949915,193.043599956166,-40.7380018633472,-46.7766830454014,-4.36112698709479,0.322910920099643,0.431433493686138,0.999999682799075,-615.03265460021,ts_ratio_decay
89,-7.03623409558252,2.02180518238016,3.8440350247757,0.138091975792237,0.00496052951829394,-7.71765338037631,3.53482606058506,3.43473164124308,1.01245617301872,-0.313208261085205,-1.4035236253145,0.362243634661183,0.363966426903725,0.941352670457709,-585.715824308538,ts_ratio_decay
90,-7.48346204181439,1.25314004358932,2.23365952184903,0.313266683526805,-0.00584501058563657,-8.17797126418385,0.643973019382203,2.61717943185083,-0.172388986641113,-0.118369166722179,0.2066666706652,0.267998637852543,0.609470798131513,0.999999999297577,-614.398568864119,ts_ratio_decay
91,-4.98480212994212,2.05678992033167,0.35425275412219,0.128340826412803,2.43693355333183,-92.0975769034469,8.34399606072684,52.1737641215837,-1.78252587116049,-3.30058365178837,-1.52491020270209,0.482057638220557,0.523857204978925,0.999868118405447,-460.090153890179,ts_ratio_decay
92,-9.05854880468562,4.34743656558093,5.7057501531190304,0.234283207421233,0.00643596237146195,578.649477962998,-1556.00491330191,-93.5707876483814,506.545415234156,-42.5715543941342,-6.50350326603769,0.0965098280958543,0.177776326403566,0.999999993407699,-634.763790798722,ts_ratio_decay
93,-8.38873426014084,3.88093749008466,4.18760342498372,0.131822926549673,0.102765629765952,-7615.49177655481,-5929.35992115382,7227.22171954779,5625.46994191951,-2.80757500427223,-2.39781346383633,0.267148188644215,0.821862233759236,0.0542755127878674,-366.575795899828,ts_ratio_decay
94,-7.47950186307961,4.03669041895817,3.21014676669553,0.033694132773495,0.82249390293565094,1751.21110955366,-15203.8073406231,12505.0977568326,1296.90365976769,-2292.51071652557,-106.074799095633,0.130388879865359,0.220472488577495,0.929146312286611,-591.522304162619,ts_ratio_decay
95,-6.47862332448205,2.67450726674606,2.590096656414,0.241145838578252,3.08623686845371,127.734881195839,-623.462548275165,-31.5737735209524,832.444870908827,-91.0239091267973,-204.031653141676,0.447100755983491,0.326366920848794,0.999999998756777,-484.598346362938,ts_ratio_decay
96,-6.03032493466406,-0.00491887865100205,-0.230637262826036,0.222327214576591,4.88724756050302,-17442.4942486572,3746.72613600719,15148.7749977892,-1787.89655289243,-4508.72790045662,-2991.61446191759,0.222857041009702,0.283258219285126,0.975288303576826,-507.090104540697,ts_ratio_decay
99,-56.0746302760173,48.9646456141803,52.8775643947409,0.324406503410577,-0.880587955610808,-5.75018398278355,0.968909124797625,4.36590175918124,1.01980454656715,-0.313112730771352,-3.08395001515979,0.186674193430849,0.299930851055518,0.82806533236001,-533.916374831066,ts_ratio_decay
100,-6.78327159629086,2.67376801708703,2.30754919191763,0.138939400805826,0.50739527091636,-1791.6165398857,1764.98755515921,1928.22260952362,-412.457931489635,-585.282180435694,-428.07343828203,0.356182307762973,0.345089745349861,0.933574818562242,-512.416163377587,ts_ratio_decay
101,-546.797233850942,539.96733818386,540.517201771117,1.79423514314798,-0.796852106005445,-4185.67306802414,1908.58716052885,3982.84591741619,-1811.80440839536,-0.904869357755492,1.74778255926552,0.832677311927665,0.872437955722308,0.0502487472216182,-182.516881651998,ts_ratio_decay
