id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,ptr0,ptr1,ptr4,alpha,ll,model
1,-140.674674478397,80.2929682003614,108.973428472285,-61.4775977480761,-0.192769578192969,-0.346985559221743,-64.5540138874502,-63.5536038139425,-67.1131243691925,12.8704022692285,196.429269906182,0.0387360610568397,0.125377479076207,0.190861169450608,0.233718211413503,-561.958027415507,ts2_decay
2,-5.90872392427784,0.890818129653833,0.331892443914789,0.874619074648419,-0.082875363127952,0.0648715490502314,-43.897879043327,26.3933734750696,36.9542000313036,2.70841945220311,-4.97314012410383,0.14540882103997,0.365314488360792,0.999992865253604,0.954407114528705,-543.662612781181,ts2_decay
3,-35.434946415117,-44.0366244195764,26.4870089904442,32.5770610613429,-0.830051386063462,-0.0134448855163293,-18.3659575359386,6.90362070545645,5.72169849698549,2.70678015576762,0.535589053238309,0.0906309475222909,0.142766439411649,0.450725251571977,0.301560396377441,-600.777318961649,ts2_decay
4,-4.08959366544857,-1.07849302017089,0.225526077368134,0.971898051238651,-0.106262155371825,-0.0815400378978405,-5.79864730753637,1.58557967481942,5.5933686351612,0.929492129499709,-1.80076547869929,0.119952816263672,0.212466734858219,0.270359818579517,0.999999972462197,-651.931400158708,ts2_decay
5,-37.9632359350422,1.84578090591515,0.806642319142968,-0.211280159549251,-0.103211805467249,31.2679583188867,-11.882952404751,-4.10778775614267,-12.2359821635799,0.650315055162187,27.658241642169,0.0891199409576958,0.315142633421269,0.319441801055167,0.988466202663313,-574.060418209613,ts2_decay
7,-442.46109527204,280.116296662128,392.107500398885,-247.936062033188,-0.102318281660255,-0.146511870290296,-19.614174828175,7.19002916121063,11.3473419781719,4.68408978679637,-6.32058033183544,0.0708946441290704,0.225237684893914,0.467456009959347,0.11351780607185501,-562.871131516238,ts2_decay
8,-1305.87483623065,895.036019858358,1197.67794119048,-819.92248379359,-0.152954119782038,-0.468921347235147,1103.74049678221,-1109.05250339746,-2053.08760524313,-96.5844598354649,968.52448253283,0.00979501854699004,0.379763727825769,0.0679594761968746,0.0817755254832166,-572.608147819065,ts2_decay
9,-6.62951844725386,1.49413669796798,1.87298448632124,-0.285702518023572,-0.176434517444779,0.760002277111356,-70.4331081317291,22.8873597499867,63.648407151204196,20.2606345256145,-48.4017631133109,0.0571272833979059,0.278726306240296,0.146834025387874,0.940793843176314,-561.810236200348,ts2_decay
10,-5.74639702655664,1.9779507986234,0.83970023854786,-0.0395329806517115,-0.107117103077758,-0.844585172036296,-20.3232376351748,7.04171867095684,-12.5341644120497,0.996106578231169,29.8679055936097,0.997536598711641,0.275986188580478,0.267139696327995,0.957492485354074,-589.747138056107,ts2_decay
11,-6.07840863033046,0.6007079689705,2.11357030115959,-0.0223902364703407,-0.117228897179207,-0.460213743139305,-172.993944057456,40.087567497384,166.377191420835,15.825026273777,-38.1525585042516,0.117872821214562,0.258866447731955,0.427739284815064,0.93285956763034406,-513.801134230943,ts2_decay
12,-2152.61517026853,169.575022455153,2041.01195939921,-159.064268076839,-0.754452331274088,1.48331764813641,-8.87327836052721,-1423.03071327925,-5701.09524466694,1.86571209481006,4753.32175636723,0.0308338198432264,0.201281990620622,0.297127612574532,0.0523977017792843,-438.91912762774,ts2_decay
13,-196.673403725922,96.7505914463172,112.298454867437,-69.911186152001,-0.336260865090018,43.6430675219844,-28.5928330583286,4.1576862626915,-82.7605156162262,3.12641697046985,83.9720166310577,0.0601845645355724,0.160154736197738,0.113679288891545,0.273457431336567,-618.846621699934,ts2_decay
14,-7.59459815069667,2.84448143882138,1.77488348539405,-0.199761009146821,-0.0968241260497442,-0.471398865552605,-40.3826880430047,20.8924698710412,36.1751690109004,1.96610884432725,-4.08590925773821,0.99331868046483,0.0895461881814049,0.227702034995177,0.808870334367762,-574.519423999545,ts2_decay
15,-5.01418746639301,2.01606376642017,1.17079115542707,0.0515159898297038,-0.196810443591061,-0.406673897099893,-10.3483373152202,4.03131165519055,3.44135872471402,0.577120113886378,2.01916256906795,0.240692681264178,0.486158392240437,0.303340072191233,0.878178913628911,-606.373612152523,ts2_decay
16,-13.7580059541238,6.61556143764579,3.80023943929784,-1.56200237378068,-0.134761638777231,-0.57030090272271,-164.240611207588,37.7463923452657,-111.115346586928,32.9615044238534,89.1276315968962,0.0441485916291844,0.150449460442355,0.375534024128869,0.828736597232585,-592.404785870256,ts2_decay
17,-332.53245848901,231.28767642731,231.189327122405,-159.921158381879,-0.19335350746323,-1.0390086807648,-5.2773315977441,-25.9747213718817,-89.9008917231445,0.530502802392334,120.678429420879,0.0308626712058438,0.0417983255555269,0.250862895587287,0.308289233950556,-561.195377363035,ts2_decay
18,-9.26303329604846,3.88550296509863,1.01816455398538,-0.227255817462084,-0.120946531222512,0.389830800259219,-730.641937042544,417.120445635794,302.178481056138,41.7057173503916,468.087251742152,0.061159715453297,0.0552006451543016,0.259769402689374,0.945493331631397,-566.998802044892,ts2_decay
19,-6.15508159602152,0.4734551171958,2.08959995782915,0.0167281533858945,-0.106726480519844,0.487139578992384,-248.923730110441,27.7081886774704,-145.003495951044,49.4992041529112,-55.763192176499,0.0620170179711566,0.114926946078914,0.999981524962425,0.942385920138525,-484.99878877855,ts2_decay
20,-1459.54584276567,-853.236793169492,1280.81425113394,749.350368520867,-0.100845068588149,0.457723873371168,-7.25261136868464,-96.1535552545873,-388.852942427289,1.04971752683861,244.15655389772,0.12700174525195,0.11742893274929,0.205106146159523,0.122493052991344,-593.457919957137,ts2_decay
21,-1640.97328381353,163.313147515248,1549.93003850937,-152.554754617465,-0.342126165869369,-0.437363733588676,-95.6886905537695,51.9100064694872,90.8319806183668,16.3104297440895,-37.62653933576,0.0440096638915162,0.182359186254011,0.161601700540955,0.0558513804327251,-557.278514948935,ts2_decay
22,1127.78557849452,-2919.44752377742,-738.253592959908,2196.50338721771,-49.0325203309036,0.994081081712509,-10.6900425532108,3.24939180707859,-0.0507976456748358,1.25651947247703,6.33558671298586,0.276818734830274,0.999998651127127,0.999998574240332,0.262993735461146,-409.377998316747,ts2_decay
23,-6.43963133443013,3.08255332023057,1.64087287248194,-0.450737746981198,-0.510201121474288,0.550429421518022,-12.6755288840222,2.29291768819681,6.48684197015289,1.6540512528957,-0.236285749562676,0.2240176290837,0.760468262107328,0.608594327395228,0.999999978779794,-535.167862132875,ts2_decay
24,-13.6477901739798,3.84120769808954,6.78624797980076,-0.4719533059787,-0.294306224469716,-0.20161843006325,-275.383580957188,119.120848176039,-14.6893389919437,19.7036458679433,320.29622636074,0.028883223511142,0.0726294743511342,0.105119752325988,0.486462914800914,-529.550329671576,ts2_decay
25,-4.81232054706308,0.942510086339675,1.09768841332339,-0.0741126365590364,-0.174992505617127,0.164010806029598,-26.4645054298589,6.67448871876311,-39.1226673233675,1.35323157900871,16.376191682497,0.35956177166407,0.0817755566369145,0.192177403437541,0.919541448824178,-614.372910012635,ts2_decay
26,-4.46752038701924,-0.942735165953166,1.18753312346278,2.46352993276205,-0.208426912765833,0.901050672818383,-93.7075747127447,-432.67034644985,24.3239035892727,46.0739911466983,-56.6584345108079,0.251023972596804,0.999994801150539,0.203830026850656,0.837449503016895,-390.267475704608,ts2_decay
27,-55.7864449880032,6.03898356072694,38.2238710057453,-3.88291273481669,-0.164517708362624,-0.300559065371426,-4.71555757213605,2.77270788224865,-0.551651625633827,0.592550498395297,-0.0444112294306619,0.16520473049683,0.442513272917726,0.999959167381898,0.342388136180972,-555.055340035335,ts2_decay
28,-3.03131132473979,0.409328219680699,2.88251588047397,-0.0616647308808518,-1.82249481767953,1.70865896799205,-8.24290569458569,0.604884957463714,4.83453864527083,2.55200465489903,-3.12183055536748,0.246397202779853,0.855105181543979,0.647473160930721,0.94956271443431,-429.246958211185,ts2_decay
29,-14.9255581444949,-2.09454553064575,8.21123897222622,1.42401937896013,-0.133895819051523,0.095300381594947,-335.473346330345,-27.9060319124385,-2.17589620684353,83.8484983983456,70.5514729057238,0.0828081232837765,0.159552923494634,0.16142867477613,0.551748194890687,-479.310826972146,ts2_decay
30,-207.085033086226,84.2971616571005,157.33535350159,-62.3806991206337,-0.147454272349245,-0.814848212559209,-1222.74796557839,-91.0743925342455,-162.917788069155,263.42088031595,417.497293979197,0.0263197217461699,0.123778291856962,0.0621108704406393,0.243242250804311,-505.4353590232,ts2_decay
31,-1393.16640840558,928.388692339139,1188.52893175055,-790.969653897039,-0.446028208092029,1.60007691372059,-1691.06972424757,632.63637469813,183.883938598196,185.434219731425,791.715353571705,0.0277528775379439,0.151280239153556,0.304281031177867,0.145869316407021,-482.412729441706,ts2_decay
32,-15.706013637785,1.91072189097657,8.82975443640342,-0.705188127568473,-0.0777456458147775,0.211099657290067,-120.837580307118,-103.208321979457,-11.4869603060031,40.0130963597041,156.985895998666,0.0968535348822125,0.144398165389248,0.23527670774066,0.524579138150051,-488.52193201403003,ts2_decay
33,-17.1170079591001,3.61716107916521,9.07942155441253,-1.29004068673449,-0.2012068851177,-0.19007193217472,-1295.70044080216,135.815250173538,400.703865241999,206.25456422149,391.03974671776,0.0150646162075984,0.0696187486345246,0.0952319027523982,0.518977852187641,-516.808876331519,ts2_decay
34,-24.3623818354007,-2.88651279951901,17.6581102164364,3.49889904456816,-1.70455661019362,0.921612741465288,-894.738193563778,132.343138700527,21.2356439509201,223.328524502979,529.408670119493,0.136870372313706,0.621115123353467,0.882426077938164,0.413723830223071,-365.879492579464,ts2_decay
35,-8.15637479489368,4.40699818613549,2.32246918307534,-0.828249432133247,-0.211906349590764,-0.180535718413692,-318.332822471125,191.84631628148,314.206648023669,17.608690563075,-43.0003024369074,0.0963386667121694,0.0255895208273179,0.999890936518706,0.816828824583422,-539.022331711278,ts2_decay
36,-18.8053278718153,6.74067120589235,11.1879271018933,-2.87050329474958,-0.358121163902073,-1.27172499425789,-265.162951619361,211.768967844182,259.062518373322,17.2186315406083,-39.5650610141323,0.00272382745376129,0.0856117324676898,0.19008363003642,0.474616821979526,-432.922001750102,ts2_decay
37,-2282.89554599512,-758.07724999882,2185.9851481931,725.051701239271,-0.35243310787529,0.0815283831907798,-318.405519591234,-187.084171064811,-181.078342205531,126.400067300872,-4.72643492750767,4.31052220298708e-9,0.194947222022678,0.155208647037592,0.0434951906682799,-305.727137405924,ts2_decay
38,-6.50223791855927,1.48135191122039,1.26423617737358,-0.228647470857467,-0.124208963407335,0.326277528638905,-185.272008785789,84.3833213400414,175.766574250267,21.7445957643729,-51.0606601202702,0.00611109356992784,0.0765496147253781,0.219229462264707,0.96617844659041,-609.397308058419,ts2_decay
39,4.99886647275592,-311.313938481406,0.816377739880251,223.23024027491,-2.26793779098879,4.05093703099796,-17.8818499760109,7.72596954643912,5.28686346131842,2.53179070089351,0.56457973912205,0.124942565002021,0.914990585232716,0.650085772149736,0.290333880965384,-467.673659311583,ts2_decay
40,-952.745374222941,79.5094610020971,854.322044628526,-70.0738528737284,-0.130650183613023,0.636345578462186,-5.73330164769805,-1.74617706019979,-13.803781752542,0.852529462433108,9.35213722194485,0.08539327743521,0.531727634158696,0.409733297150408,0.10268733823819,-484.77376732966,ts2_decay
41,0.283448583652282,-4.01256217762742,-331.660086473266,242.334030273973,-0.981313828482108,0.417657497773612,-17.4166336030968,1.74297809542091,12.2403411456144,3.56233185524176,-3.5758978956436702,0.234209077313559,0.681944615471973,0.695388488676408,0.599194269460123,-488.443863368376,ts2_decay
43,-6.28996909640333,1.30740522763981,0.867064538830855,0.0563115331403603,-0.100585864706765,0.554143307661151,-6.29866428130605,-0.525114379612632,-4.0322921470247,0.773667663195113,4.91634276970631,0.0206648365712812,0.201852468183228,0.255410665749163,0.933027623621376,-631.768148256651,ts2_decay
45,-2.60420878113538,-4.45793707922581,0.391612243613161,2.19328225807077,-0.0544241746742211,-0.687197487264054,-394.923038406354,56.3892890189213,-50.8601609889883,25.4391988664027,121.469655322411,0.0208534049003525,0.039220880987711,0.129816422896321,0.880572637324712,-503.165422770048,ts2_decay
46,-65.5991195240048,27.1807204890745,48.7004426961568,-19.3380001139181,-0.231294925828893,-0.130257658865634,-10.779962454157,2.18944879160365,4.40160287914914,2.66410980304525,-3.93982103490125,0.048440604521624,0.574806512109927,0.999998285316617,0.270902442296217,-488.66462381415,ts2_decay
47,-25.6499391632384,6.08490312661523,18.8588875498242,-3.88488305796935,-0.803453574176136,0.570690232458509,-6.86942894303693,-48.0890606865695,-207.521432417226,1.34370934023512,173.948697147198,0.999975874126357,0.375788354416559,0.388073070343139,0.408914899888206,-368.49806808536,ts2_decay
48,-7.18460678875816,0.111831751133908,2.14880584718104,0.499272276455698,-0.138731955936786,-0.521647196964445,-10.1660120271553,-0.987660898151354,-15.5683432401361,1.85520565845541,11.4989787544686,0.0401267286872183,0.233622350815016,0.376065631291023,0.922301160053781,-472.67701066721,ts2_decay
49,-33.3109777937962,19.274131577016,21.5693256969885,-11.8915342353295,-0.174311591025006,0.106552157651226,-87.2965297670967,12.5451175340018,-2.08821856032266,34.788552598923,24.421939294998,0.0399053442848934,0.256548804623251,0.298729478960285,0.358889492558837,-538.453158333781,ts2_decay
50,-30.0071266173019,5.81683262463606,19.9617903080613,-2.83349560141942,-0.224595390866402,0.871018799844999,-18.4976622166181,-7.69735055378346,-9.23131259796492,5.68476380494354,7.98170622735746,0.160603257186417,0.128690085849246,0.206924572496179,0.364206228186782,-448.499834151082,ts2_decay
51,-80.2907624547485,-326.303428729921,80.8045991154844,313.118475238915,-1.45241270389131,-0.708573434397852,-100.855908135616,60.504460974713,88.561240005201,16.8111082231265,-31.4143296554343,0.157679656436779,0.999987683161873,0.892376715664801,0.0484491792101541,-332.585084891369,ts2_decay
52,-8.14252338057503,0.91528149374771,3.38843801432499,0.0424882103159077,-0.179901922523769,-0.441134414106125,-96.1869749160672,43.7738470611889,86.002778301637,16.5290935492185,-34.5720227989696,0.112415827903562,0.159980895789427,0.487077768658106,0.908213910521179,-406.577833453344,ts2_decay
53,-930.487820890045,652.969659492212,750.33647534102,-525.351830830893,-0.205445147244349,-1.36174114373805,-8.91821260158133,-1093.79172890633,-2677.08344173922,0.305811809299113,3356.74096526194,0.984256691108386,0.0563219611391664,0.224180946974917,0.19386444829845,-524.058325885532,ts2_decay
54,-6.46428343817534,2.73433594570655,1.66073354496358,-0.392867411092954,-0.0692447502944434,-0.933478635051123,-10.5557824387706,6.27517137689485,7.88623341694255,0.485615263550332,0.181649867141961,0.999963640700068,0.122458269984092,0.38480943379592,0.892027861402179,-638.529838067921,ts2_decay
