id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,ptr46,ptr28,alpha,ll,model
47,-95.0498385278718,9.82768104208426,79.403456737729,-7.76599209308202,-0.853217579145586,0.521219281374905,-7.57686581224598,0.434570850788736,-7.88471567674847,1.97752432903008,6.60735132954135,0.382702941746519,0.524907251215092,0.208071339880655,-370.480077319801,ts2_ratio_decay
48,-6.92392575272468,-0.0473720691852514,2.04708981620067,0.536098036690296,-0.13300624089206,-0.498208263993325,-4.42709027047807,-3.51105329903999,-22.7992094182164,0.181938578379194,16.9245432211856,0.297891501486578,0.329732217309448,0.926616907006734,-479.253974667226,ts2_ratio_decay
49,-643.195365862063,-554.510776510005,588.679577375537,509.023484296423,-0.154358361458592,0.282396674315969,-2.73806457288594,-666.927812746974,-2677.95020267037,0.0779296862638741,6692.74890776538,0.17560603784671,0.54449214245674,0.0841684878777729,-527.60107897877,ts2_ratio_decay
50,-32.7763806380567,6.4939714625026,22.2252614615964,-3.37358076364184,-0.229503706231316,0.880140244323973,-10.7965970025372,-4.41894516181872,-5.23466470065079,3.05812284145783,4.96995062160951,0.162046101297596,0.236007718488348,0.349002935852723,-448.631268121397,ts2_ratio_decay
51,-28.0645165565981,-1068.06944934495,31.9689144693642,1047.27618461149,-1.39940047890507,-0.600132432969189,-13.9334747467412,-202.516380867372,-775.605184286335,2.13130732556125,978.542448694504,0.188257161611593,0.305992741577794,0.0215541532015857,-362.542780821339,ts2_ratio_decay
52,-9.04754499111337,1.56314959008501,3.85027632212377,-0.152986248169951,-0.186404804006508,-0.468837461968798,-6.61984197674834,-2.5443587277896,-7.17183636351103,0.847838901690379,8.33314087241859,0.304731554422302,0.200016936852152,0.874678783582522,-414.985369060811,ts2_ratio_decay
53,-5.28955940754109,1.39210808092283,1.22488713359148,-0.254872839348829,-0.170471567344156,-0.560461437778673,-51.9970534276689,49.6666148397307,11.7837730610707,-6.9613843457341,70.1975184473702,0.147663016352979,0.561947380586496,0.904805729627041,-518.533289419125,ts2_ratio_decay
54,-5.84773793981203,2.2088109841549,1.53897056198638,-0.279252877996598,-0.0655379530122959,-1.01862606118843,-7.54666054085493,1.63970936181317,5.0492610398624,0.356379089905585,0.206808957399072,0.398975744608557,0.610150414172038,0.891542434416886,-640.005444345795,ts2_ratio_decay
55,-211.279559617861,90.2792064869826,182.131836431569,-77.515691087201,-0.328770112595665,1.39486994020259,-5.70016794791071,-996.54204651068,-2281.57787469999,0.201427566020695,1428.40599675635,0.153279214418134,0.313024849692801,0.14271215606014,-434.916317698778,ts2_ratio_decay
56,-1.34580905721047,-0.0527772091955095,0.455462910211241,0.742766400127567,-0.631291203225997,-0.380493371295344,-4.09597936163291,-78.5288727191776,-162.451743554073,0.0983392313144214,411.34338847497,0.633858620353929,0.845690603058684,0.794006910323552,-449.526997023311,ts2_ratio_decay
58,-7.17055717517721,1.26692339420423,1.81547724384969,-0.406205197934515,-0.0938177153672933,1.08889709231379,-74.3085480519705,44.9986107913588,-30.6684576344316,1.8231122667809,129.059418231082,0.21920707430956,0.471638125907185,0.951934516793742,-496.276137194075,ts2_ratio_decay
