id,b0,bC0_1,bC0_4,bN,bOC,ll,model
1,-3.62435513282528,1.40495847500524,1.84712381302541,0.0754318712129533,0.062829873653522,-758.597111311594,os_costOnly
2,-3.64806510677659,0.61897527686662,-0.539759210167573,0.106637743794187,0.851853737679774,-764.87747033031,os_costOnly
3,-3.6425959293915,0.09167722070684,0.198686162009748,0.0825008633291005,1.06873969198328,-745.363759676508,os_costOnly
4,-3.33699834551229,0.534053841318599,1.51108360516875,0.165295538984044,0.00441528884492179,-771.633235559752,os_costOnly
5,-6.04455252243596,2.80746406238416,3.2101840261767,0.242917242424701,0.328485371861956,-684.583239321858,os_costOnly
7,-2.7444827319323,0.612096041478262,0.241209467225188,0.0590200940795639,0.910376790282855,-731.562612313976,os_costOnly
8,-4.00045545702706,1.28266202806859,1.62358075328219,0.0476680969929192,-0.0430584928991853,-756.138618622983,os_costOnly
9,-2.7520595870842,0.785735441845637,-0.286614745184171,0.119747145858103,0.15974760560963,-776.611070685662,os_costOnly
10,-4.68975103592664,2.13465199278501,1.92482791546864,0.180138860186205,0.243377128373636,-743.639460497534,os_costOnly
11,-3.42670365247991,0.282800770068222,0.280591293761986,0.172857181832357,0.119850525353987,-806.963538165874,os_costOnly
12,-3.9491486273689,1.88226069970588,1.32768017091047,0.0367601236316234,0.813526215539809,-650.333444723521,os_costOnly
13,-4.87108783390014,2.42097735195459,2.34092224030469,0.142113299007702,-0.171606156446188,-757.95046496512,os_costOnly
14,-4.04618077746321,0.760554991208592,1.22394993878153,0.084235852951127,0.0218282967220939,-794.547826910343,os_costOnly
15,-4.38854445792966,1.86399026179614,1.87116119748478,0.167276276869216,0.161204866660697,-760.045323463115,os_costOnly
16,-3.15149984437595,0.519295721645266,0.436842077941348,0.050083622157933,0.520407677380941,-779.280652918753,os_costOnly
17,-4.0434405190002,0.736627075846314,1.99725668109317,0.0462444174088174,0.401196319770246,-688.155433564936,os_costOnly
18,-4.33491655115937,0.901838598092727,2.54371788078449,0.0975575014853036,-0.0455584808132008,-730.290129554189,os_costOnly
19,-2.74985764230539,0.248130826400554,0.239461205189515,0.150857532124901,0.096982820676737,-772.097879676983,os_costOnly
20,-3.2374460744587,0.16116142022027,0.0174713139650736,0.115396634341712,0.326056468985073,-816.15580660436,os_costOnly
21,-4.68681871957389,2.44156478227482,2.25459585047488,0.150438213820682,-0.102731866005373,-753.224855444394,os_costOnly
22,-5.27029168396991,-0.184864718717338,-7.12074491105304,0.334285672317836,10.5068189839408,-463.229137419,os_costOnly
23,-4.62662175369654,1.01005382337626,0.827205338719784,0.324826962294239,1.30342843512928,-650.400019071083,os_costOnly
24,-4.96051626048473,2.25159445567085,3.0581224565691,0.0942393273448501,-0.210095008853983,-694.510410559693,os_costOnly
25,-4.71972216447482,1.48914906353277,1.80753347767223,0.136463642666507,-0.0172271289233565,-781.76226892815,os_costOnly
26,-1.23632405955929,-1.11611100205086,-0.672519357304492,0.146006720599156,0.311214223309422,-656.707555378402,os_costOnly
27,-3.3492151995635,1.36802066425554,-0.172249058174243,0.183687392308346,0.655453921788514,-709.437529452645,os_costOnly
28,-2.66016348736351,0.506501430679677,-0.136973154300311,0.216796141707757,2.48273716485968,-589.275525339472,os_costOnly
29,-2.90952212678373,0.552298249588733,0.272331275764992,0.135181767812173,0.340567060893327,-760.160415991404,os_costOnly
30,-3.40051385184761,0.980985181388984,1.16944674562517,0.0885824322248765,-0.14930041097687,-815.928217127918,os_costOnly
31,-5.10125010289709,2.47663035823339,3.05109037001293,0.0881673815668168,0.100070424175919,-649.065284095194,os_costOnly
32,-2.41042145918363,-0.180084315196729,-0.137375088425382,0.0882993685260396,0.996668658621069,-724.138942307228,os_costOnly
33,-3.93301497202952,1.38013923517658,1.85976769093862,0.0564147439357673,-0.0262819742380907,-749.438785630396,os_costOnly
34,-2.97386992529889,-1.19662158535084,-7.84309586123135,0.0994610941391176,11.91614584543,-497.021235168334,os_costOnly
35,-4.12824715727483,0.760131995280903,2.07773478773221,0.0707970039627177,0.20174903009638,-721.460739532282,os_costOnly
36,-6.68436991117407,3.74242157316688,4.29272809484862,0.0710720105482605,0.200803312002628,-568.140400688847,os_costOnly
37,-10.8161930549302,7.76047226063112,7.870107900511,0.250734344278409,0.171241014570017,-487.694200834716,os_costOnly
38,-3.60258106359017,0.205496481257939,-0.0602224317407651,0.0879299957834217,0.394689546187468,-799.864781571631,os_costOnly
39,-5.06805901411143,2.04274917996859,-3.6682453920093,0.235947975233692,3.67612970547877,-590.874858119869,os_costOnly
40,-3.48017810741295,0.990779338624623,-0.45013437704394,0.169198406882387,1.23319315934809,-700.617461353578,os_costOnly
41,-3.85362343613667,-0.156953372394026,-0.494012265027391,0.298295884333984,3.24181097148458,-588.142862049254,os_costOnly
43,-3.98301578839189,1.11998357932439,0.963081713198986,0.113921204094986,0.415170363641717,-766.766049953094,os_costOnly
45,-3.23047219828342,0.262713165350986,0.375960552559864,0.0833944638649291,0.204037502316799,-825.040678198708,os_costOnly
46,-3.3285879763705,1.15721563741093,-1.27106026916887,0.0990545639425372,2.09512341524345,-662.107243774553,os_costOnly
47,-4.03118005994208,0.627083523571602,0.645398232136965,0.915509466046042,-0.686807896189104,-536.879695889262,os_costOnly
48,-2.75441589321352,0.125717519469627,-1.22707439922342,0.0714363273531414,1.51143278678785,-717.195870409118,os_costOnly
49,-2.71314064554592,1.10591532588095,0.11270515816193,0.0221030258799211,1.09683913227858,-691.926913155622,os_costOnly
