id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr46,ptr28,alpha,ll,model
1,-1.70394371673944,-4.27117189840914,-10.9559379543738,0.00128482379289305,21.8659961942644,-5.83889500100287,1.44329729952596,1.82906076322523,0.0597154621628024,-0.12991388625194,1.06169646377091,0.992181670141827,0.99999992479006,0.92961187372591,-483.838007689837,ts_ratio_decay_stop
2,-1.06791656490779,-49.2683220355577,-198.386459026871,0.0198401397569394,166.165599045,-2.7085482434127,-0.441248488949026,0.270199125745413,0.885786185873851,-0.0830832908148866,0.083425999555813,0.9999999348324,0.999999879273688,0.999999488306778,-572.776508171077,ts_ratio_decay_stop
3,-2.63562664024422,-1.25635585751386,-5.94578561716291,0.0952232554762754,6.81451996234318,-2.25957802867995,-0.440541484315738,0.741385888571537,0.447140179760856,-0.105227801884843,-0.0333111989246393,0.999999853610524,0.999999934365948,0.999999990498276,-559.634008640383,ts_ratio_decay_stop
4,-3.90964769824879,-0.691025227819592,20.3058677248339,0.840154705051815,5.94773181771712,-0.0525145148613992,-2.62612322260698,-0.281530015631534,1.11526207948015,-0.0932374403468218,-0.197631223892723,0.999999904497767,0.950658897118746,0.999999987226241,-646.12420659046,ts_ratio_decay_stop
5,-3.21461348604695,-5.72574691466585,-10.7868630462583,0.113960292781459,17.0016791954672,-2.03744784724317,0.41630966428275,0.920669675781621,-0.0709746597745278,-0.217838408411362,0.318936205874754,0.943732827888183,0.97631494698614,0.999999936779461,-536.038640966172,ts_ratio_decay_stop
7,-1.33784881708968,-4.37552181936661,-21.0564009323233,0.0240475536868434,28.8177090214268,-2.07337022720862,-7.14991249155203,-0.289265348448426,5.11704792293859,-0.0409339484161813,0.647126897718985,0.90080283131248,0.920394022779636,0.869126244748322,-523.995381211808,ts_ratio_decay_stop
8,-2.28908959344171,2.85793028629037,3.08761513169742,-0.0227051592357985,-0.0153573321072641,79.5340223858104,-208.167733388458,-42.3085242716779,107.197983029893,-0.130966654840694,0.204621794579654,0.999999923361554,0.985933149832997,0.994158343873834,-489.371907125973,ts_ratio_decay_stop
9,-4.93970302137002,-86.2376035933214,-531.13971148653,1.57955929030749,443.169381110898,-3.05449700085417,0.611592089127865,0.875975435908775,-0.0218308033163559,-0.125458099539867,0.378681138751862,0.999999788552661,0.99268259741063,0.962200072608394,-563.329420598363,ts_ratio_decay_stop
10,-3.03074678038416,-8.53713248436289,-29.1077307097139,0.140350955694663,35.5786999002999,-2.71832470132544,1.47087293098399,0.930530732968781,0.292515339758972,-0.118001673497274,-0.565388410549087,0.999999996126116,0.999999960808287,0.963376274215821,-507.46816305637,ts_ratio_decay_stop
11,-2.78922544025613,-8.06947965958149,-27.8634982967682,0.448479003359393,25.1188834237037,-3.41828232284128,-1.73960889304704,1.21669727712811,1.07527684997262,-0.0607861477915236,-0.152057921725937,0.99999999877569,0.999999998258385,0.904925293837486,-479.156696369839,ts_ratio_decay_stop
