id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,k,b,alpha,ll,model
1,-1.71754042129295,-4.19878062590136,-10.7215054053302,0.00391939571203253,21.6084601905438,-6.4536851647552,1.75070679785305,2.041993482438,-0.0473356442513411,-0.126841856691758,1.14963027885775,-0.0315949970171604,5.24097725927052,0.920991242790355,-481.501627528915,ts_flex_decay_stop
2,-0.830790474615802,1.27646888502952,1.28277991463976,0.00147130339141177,-0.00220642643392375,-5.63208028795747,-0.861097514402598,0.630841455319578,1.74526410251078,-0.0820835851083963,-0.355718036155656,-1572.76363164322,718.750270128261,0.9999999318376,-534.499434965856,ts_flex_decay_stop
3,-2.39946138500243,-3.14943827063603,-10.9871824815583,0.0830128705996677,11.9635191638058,-3.0895319530408,-0.241877544542046,0.861001157184056,0.387864043928647,-0.0958642515216493,-0.0504394560122888,-0.194909568635408,5.57184161020249,0.999999998760978,-548.502678498119,ts_flex_decay_stop
4,-4.84968398977739,0.527287838327016,9.97787668687998,1.19379363033908,2.70027749725939,-0.668486595604704,-2.16814216130216,-0.22074564592455,1.07047602213314,-0.111237134801608,-0.243358160967775,-0.0717872692584501,3.43773221423775,0.999999969027701,-644.745589572202,ts_flex_decay_stop
5,-3.12672483831036,-6.48101533406224,-12.188465694394,0.112376098988995,18.784894284428,-2.1192342055331,0.318209618145673,0.956841411069769,-0.0789341040126782,-0.234018423590032,0.374085692723518,-0.0261571879296187,3.01028765511412,0.999999922987679,-534.912615746237,ts_flex_decay_stop
7,-1.24338429842468,-4.17768940641311,-20.3941110029724,0.0190431870234764,28.0982477258812,-1.89788018589209,-7.28695520145204,-0.3484135922519,5.125573411561,-0.037176172489149,0.589820030222687,-0.022825269715517,2.62683579849021,0.87509077694378,-520.693828561764,ts_flex_decay_stop
8,-2.40960349840272,3.06043625489075,3.07017714866604,0.00102401132499458,-0.00192955268452739,-3.89818078957633,-3.63240912315541,-0.501247651828281,4.724703960392,-0.146674499300895,0.0219825156507774,-813.130882280606,542.999474717717,0.95356789828676,-487.700008192593,ts_flex_decay_stop
9,-4.93275690865994,-15.4496991131609,-106.467773097009,1.5840455618738,89.2846931277581,-3.22057273516918,0.724924472839543,0.926866544898704,-0.0477537709615411,-0.133534428074097,0.420395858857026,-0.00497161147212869,5.45733776829806,0.959194419848492,-562.831892593066,ts_flex_decay_stop
10,-3.03408996342282,-8.69095337014605,-29.5469764933504,0.140664673934001,36.1357148058832,-2.73211915387163,1.47832742611036,0.926386802346296,0.292949526732543,-0.116078801559943,-0.572291166850686,-266.072658272445,59881.6497852521,0.963602365639523,-506.175464113313,ts_flex_decay_stop
11,-2.80556166171661,-8.19920985300707,-28.3606494329152,0.462384938162838,25.5644217598009,-3.83702417698179,-1.45063890428745,1.3794998299567,0.985611047056806,-0.0663047876508605,-0.20285824931857,-0.0594937025902044,8.25933409125198,0.902368567344225,-468.921486921059,ts_flex_decay_stop
12,-2.22509362351843,-14.0189996565157,-52.0414712835423,-0.0437069770562614,64.3106929599575,-3.69620929958498,-0.925045482832343,1.56330108344155,1.35706298024161,-0.21865993511093,0.234269336405725,-1.97940102305657,635.538872678153,0.978308305435832,-323.75244216502,ts_flex_decay_stop
13,-4.54705354136746,-254.644805310177,-1037.81925015095,0.199431121434444,1301.21171955186,-5.56683149361321,2.32761362325356,1.28683751779231,-0.126376557511437,-0.0843610401756139,0.32963106936718,559.441919428142,2569.41999365554,0.969023893509644,-502.372433050862,ts_flex_decay_stop
14,-2.26042479327073,-4346.96466491008,-17326.6341472177,0.0809893436079101,14451.7643580912,-6.02832899290993,-0.330567537111888,0.835039688874742,1.34637599902814,0.00745925327297388,0.0622249805941102,-5.91203064522747e-5,6.33817013960481,0.860754687889303,-463.371403679755,ts_flex_decay_stop
15,-2.9002621612902,2.82807186932889,3.84448952984992,0.136406024243702,-0.339149826042875,-3.64748433935889,-1.89054410988924,0.620832114331577,2.55669314054709,-0.274133493553027,0.921363892189223,-792.083064286219,754.287795962798,0.999999375441235,-531.994354978678,ts_flex_decay_stop
16,-1.94980971943042,-7.78313942894175,-31.2896168762425,0.0956183493070582,27.1969903835106,-1.55792907686836,-0.378356886210312,0.243329194515145,0.704357678378477,-0.103780996418098,-0.0606815075186295,-41.0732549165518,5033.3673208435,0.933945557454533,-569.271204913525,ts_flex_decay_stop
