id,b0,bU,bE,bEv,bC0_1,bC0_4,bN,bOC,bPN,bPR,ll,model
1,-6.55782956406365,1.20883561679531,1.09301818670766,-0.192031476477491,2.37171971381344,2.42183331397645,-0.12785085520937,0.580976807743618,-0.0890612048986267,0.514184457090637,-569.803227580056,os
2,-6.294593612574,-0.00682038145792327,0.0608904212015991,0.952184652008278,1.55180912355685,-0.319968893571867,0.175944465295466,1.2189385192864,-0.0774265034820916,-0.137627261809545,-527.00151139459,os
3,-6.06344179714157,0.994584285683887,0.793906975441581,-0.116851747956669,0.844615292364746,-0.161102946308542,-0.0050117873041868,1.75369590203427,-0.0628664266055844,0.165394687181051,-584.500151851736,os
4,-2.94528196414368,-1.8365810889573,-0.153127222930164,0.919988128848348,0.960137432355838,2.44253144968398,0.15446841249738,-0.377008535322637,-0.0559591814779372,-0.0366119690096323,-655.451998399908,os
5,-8.24360907566437,0.215483793324637,0.541067770278535,-0.0418991151407824,3.76652405048951,4.23131776137792,0.153519693287809,0.524965895488465,-0.0318832661136593,0.570859245753571,-589.204330696633,os
7,-4.58878062352075,0.455926445348603,0.792493638906225,0.0172455945693245,1.39326331621106,0.49994220138456,-0.11523337993819,1.31760334030702,0.0125487871593954,-0.023101409888075,-603.042621643381,os
8,-9.17566794755149,2.87985035216436,0.939323467716933,-0.0682851534825776,3.49752662255845,2.83921447965418,-0.151176975088601,0.510068352819474,-0.0864839832501929,0.227177033587128,-523.606031390065,os
9,-4.37484033571113,-0.0311277002710055,0.874544698112213,0.195875548031271,1.0373167981951401,-0.60440549453632,0.017106698296866,0.303685403358614,-0.0875816311486159,0.522856438486611,-587.152579116151,os
10,-9.21126342033933,1.47157941259184,0.585848571359655,0.143029524686276,4.63881694830687,4.34746087295911,0.252435094429032,0.370845780578566,-0.0514214954910577,-0.518125085324628,-554.100465271275,os
11,-7.32546758238124,-0.103953631537488,1.2511038984316,0.360043153065281,1.09626785693177,1.48614367482489,0.224278880462159,0.157307476333234,-0.0838708435779003,-0.108640850574984,-486.735519950958,os
12,-9.25559904658422,1.98744129701893,1.93361808202646,-0.602238330776195,3.74453292425378,1.0634206384466,-0.397778729140745,2.62322350506837,-0.0443179770482019,0.64758281264464,-430.656884336246,os
13,-12.5289141180033,2.92238443546177,1.29020937488435,-0.462652340964627,5.84848865291592,5.09562945559806,0.0653734252987567,0.0530561032872821,-0.00597597849707877,0.559129048339536,-536.07802415069,os
14,-11.2404425126003,3.45659391531739,1.07569946690755,-0.104608306536392,2.38067297344097,2.60773723037144,-0.077291276873721,0.690268605324063,0.00625824096816035,0.0846926799814839,-499.355377377816,os
15,-8.87301811213826,0.657676707803825,0.539000097070923,0.449861190015317,4.02258022605492,4.43620143846867,0.169332880178238,0.194222231352759,-0.0598221815786439,0.471524122522934,-547.806256931646,os
16,-4.22336267011598,0.281119838781273,0.507479198672845,0.154154945302226,0.904630993023197,0.366657271134048,-0.0690898813953858,0.85936171322792,-0.0581110378714891,-0.00500690337514505,-642.653569707132,os
17,-6.13247980451343,1.90829729488879,0.769131532957194,-0.29759952352225,0.962163408157489,1.73996816788283,-0.124223606951371,0.965164752816243,-0.0359977680466756,-0.0040497882771156,-588.644901818974,os
18,-8.39401292751743,0.94359981643434,0.646397197167181,0.146006690955651,2.83332646765612,4.47120337907566,-0.0810750929895853,0.438634440280129,-0.0150431482078522,0.408466108220812,-537.29695752685,os
19,-6.20096238117554,0.270440379530505,1.42408049922737,0.228353803030657,0.387795650801975,0.45477618890681,0.163520853238652,0.161582115321007,-0.103500313970431,0.471733099771234,-481.975849831958,os
20,-7.25729801845274,0.570143381497696,1.27444202019353,-0.146064310096571,1.43584884885091,0.797559706058368,-0.00429752405979237,0.655921277811738,-0.0286398161542306,0.583267418408695,-565.412022640561,os
21,-9.19893810126957,1.00635406708854,0.93583281529701,0.0902548851456043,5.13704896900854,4.38773162047177,0.076402168813853,0.183942058472332,-0.0780490851590412,0.0242880890407582,-533.276488858716,os
